,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.0,0.98,0.54,0.0,0.0,0.11,0.18,0.14,0.0,0.0,0.19,0.25
gdis.csv,0.75,0.66,0.58,0.26,0.72,0.38,0.44,0.69,1.0,0.0,0.58,0.48
kml.csv,0.62,0.75,0.66,0.48,1.0,0.41,0.6,0.62,0.57,0.36,0.6,0.6
ppcboot.csv,0.64,0.68,0.62,0.93,0.71,0.5,0.51,0.4,0.61,0.0,0.33,0.59
repositorium.csv,0.26,0.53,0.3,0.46,0.28,0.85,0.23,0.29,0.42,0.21,0.39,0.21
rsyslog.csv,1.0,0.51,0.63,0.27,0.41,0.21,0.2,0.29,0.57,0.37,0.45,0.05
simplewebservices.csv,0.48,0.61,0.64,0.52,0.73,0.43,0.62,0.39,0.66,0.64,0.51,1.0
ultimairis.csv,0.64,0.5,0.69,0.47,0.65,0.59,0.89,0.57,0.6,0.51,0.51,0.54
wow-qrsk.csv,0.36,0.62,0.97,0.6,0.1,0.0,0.02,0.14,0.06,0.8,0.13,0.57
wxstudio.csv,0.43,0.29,0.27,0.21,0.37,0.31,0.45,0.0,0.28,0.0,0.93,0.04
xbg.csv,0.27,0.1,0.11,0.33,0.17,0.11,0.13,1.0,0.17,0.37,0.06,0.27
xqilla.csv,0.05,0.0,0.09,0.0,0.0,0.0,0.02,0.0,0.0,1.0,0.06,0.0
