,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.68,0.99,0.37,0.69,0.65,0.13,0.24,0.11,0.9,0.0,0.2,0.29
gdis.csv,0.74,0.48,0.33,0.3,0.69,0.14,0.34,0.29,1.0,0.0,0.54,0.57
kml.csv,0.63,0.56,0.38,0.5,1.0,0.35,0.45,0.29,0.69,0.04,0.55,0.56
ppcboot.csv,0.65,0.49,0.37,0.94,0.72,0.43,0.49,0.16,0.72,0.0,0.31,0.6
repositorium.csv,0.3,0.37,0.22,0.47,0.29,0.9,0.28,0.17,0.53,0.05,0.39,0.59
rsyslog.csv,1.0,0.42,0.52,0.35,0.51,0.22,0.27,0.25,0.67,0.07,0.44,0.59
simplewebservices.csv,0.53,0.43,0.36,0.55,0.7,0.16,0.49,0.15,0.79,0.06,0.49,0.99
ultimairis.csv,0.64,0.45,0.38,0.58,0.64,0.36,0.9,0.25,0.81,0.04,0.47,0.51
wow-qrsk.csv,0.44,0.45,0.97,0.61,0.13,0.0,0.04,0.07,0.1,0.08,0.16,0.55
wxstudio.csv,0.44,0.27,0.14,0.26,0.4,0.15,0.35,0.0,0.38,0.0,0.96,0.05
xbg.csv,0.35,0.12,0.14,0.41,0.23,0.17,0.17,1.0,0.24,0.05,0.1,0.28
xqilla.csv,0.07,0.0,0.12,0.0,0.0,0.0,0.04,0.0,0.0,1.0,0.1,0.0
