,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,1.0,0.98,0.51,1.0,1.0,0.09,0.15,0.12,1.0,0.0,0.16,0.21
gdis.csv,0.81,0.88,0.59,0.22,0.78,0.36,0.53,0.75,1.0,0.0,0.59,0.87
kml.csv,0.65,0.82,0.94,0.45,1.0,0.36,0.64,0.62,0.58,0.33,0.65,0.75
ppcboot.csv,0.65,0.75,0.63,0.93,0.69,0.45,0.47,0.38,0.61,0.0,0.3,0.87
repositorium.csv,0.23,0.62,0.26,0.46,0.25,0.82,0.19,0.25,0.4,1.0,0.35,0.97
rsyslog.csv,1.0,0.48,0.59,0.23,0.36,0.18,0.17,0.25,0.53,0.33,0.43,1.0
simplewebservices.csv,0.62,0.72,0.69,0.59,0.83,0.64,0.62,0.38,0.74,1.0,0.49,1.0
ultimairis.csv,0.73,0.9,0.83,0.7,0.81,0.55,0.87,0.88,0.79,0.67,0.57,0.69
wow-qrsk.csv,0.31,0.65,0.96,0.66,0.08,0.0,0.02,0.12,0.05,1.0,0.11,0.55
wxstudio.csv,0.46,0.25,0.25,0.18,0.33,0.27,0.43,0.0,0.26,0.0,0.92,0.03
xbg.csv,0.23,0.08,0.09,0.29,0.14,0.09,0.11,1.0,0.14,0.33,0.05,0.23
xqilla.csv,0.04,0.0,0.07,0.0,0.0,0.0,0.02,0.0,0.0,1.0,0.05,0.0
