,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,1.0,0.03,0.57,1.0,1.0,0.91,0.85,0.89,1.0,1.03,0.91,0.81
gdis.csv,0.46,0.68,0.62,0.83,0.49,0.8,0.88,0.55,0.0,1.23,0.6,0.84
kml.csv,0.57,0.47,0.7,0.67,0.0,0.64,0.64,0.54,0.62,0.8,0.64,0.71
ppcboot.csv,0.51,0.56,0.56,0.09,0.37,0.55,0.57,0.79,0.54,1.07,0.86,0.76
repositorium.csv,0.84,0.77,0.78,0.77,0.87,0.18,0.81,0.79,0.75,0.95,0.73,0.95
rsyslog.csv,0.0,0.6,0.44,0.77,0.64,0.82,0.83,0.76,0.53,0.7,0.7,0.99
simplewebservices.csv,0.84,0.68,0.59,0.76,0.54,0.89,0.56,0.83,0.6,0.74,0.63,0.02
ultimairis.csv,0.64,0.82,0.62,0.86,0.67,0.49,0.13,0.77,0.72,0.81,0.78,0.77
wow-qrsk.csv,0.7,0.59,0.04,0.67,0.93,1.0,0.98,0.94,0.95,0.56,0.91,0.55
wxstudio.csv,0.86,0.78,0.94,0.85,0.73,0.79,0.73,1.03,0.91,1.0,0.08,0.97
xbg.csv,0.77,0.93,0.91,0.73,0.86,0.91,0.9,0.0,0.86,0.73,0.95,0.83
xqilla.csv,0.96,1.0,0.93,1.0,1.0,1.0,0.98,1.0,1.0,0.0,0.95,1.0
