,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.49,0.59,0.47,0.73,0.45,0.8,1.0,0.76,0.59,0.56
clamav.csv,0.61,0.49,0.58,0.79,0.49,0.83,1.0,0.36,0.58,0.58
dvd-create.csv,0.65,0.74,0.68,0.69,0.27,0.63,1.0,0.64,0.82,0.67
gbif-indexingtoolkit.csv,0.4,0.77,0.96,0.74,1.0,0.5,1.0,0.82,0.77,0.84
go.csv,0.59,0.74,0.35,0.58,0.68,0.79,1.0,0.73,0.69,0.45
kwave.csv,0.6,0.89,0.98,0.6,0.89,0.76,0.75,0.65,0.55,0.86
libarchive.csv,0.62,0.54,0.54,0.64,0.61,0.96,1.0,0.5,0.93,0.43
liferea.csv,0.47,0.41,0.46,0.75,0.7,0.73,0.65,0.66,0.63,0.55
linux-ntfs.csv,0.65,0.56,0.86,0.85,0.54,0.65,0.82,0.63,0.47,0.49
mpgravity.csv,0.55,0.87,0.44,0.72,0.66,0.82,0.4,0.58,0.88,0.67
