,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.18,0.04,0.45,0.5,0.34,0.29,0.24,0.06,0.99,0.14
chaosrts.csv,0.97,0.92,0.55,0.91,0.91,0.85,0.86,0.88,0.81,0.98
lazarus-ccr.csv,0.95,0.96,0.91,0.89,1.0,0.59,0.86,1.0,0.99,0.89
linuxsh.csv,0.44,0.29,0.91,0.3,0.39,0.26,0.05,0.12,0.19,0.35
migen.csv,0.36,0.42,0.73,0.3,0.23,0.94,0.1,0.06,0.5,0.4
moviesandbox.csv,0.72,0.21,0.55,0.74,0.95,0.5,0.19,0.06,0.44,0.52
sauerbraten.csv,0.95,0.25,0.55,0.3,0.55,0.38,0.19,0.0,0.28,0.13
scite-ru.csv,0.82,0.62,0.64,0.89,0.82,0.68,0.9,0.75,0.44,0.92
vrjuggler.csv,0.33,0.5,0.18,0.52,0.23,0.71,0.19,0.94,0.19,0.86
xuggle.csv,0.13,0.29,0.91,0.91,0.55,0.38,0.24,0.12,0.77,0.61
