,jgnash.csv,yarp0.csv,mp-rechnungs-und-kundenverwaltung.csv,ingex.csv,ambulant.csv,openefm.csv
ambulant.csv,0.5,0.55,0.47,0.6,,0.49
ingex.csv,0.44,0.07,0.45,,0.44,0.4
jgnash.csv,,0.43,0.2,0.66,0.46,0.11
mp-rechnungs-und-kundenverwaltung.csv,0.19,0.23,,0.6,0.34,0.49
openefm.csv,0.51,0.15,0.38,0.45,0.38,
yarp0.csv,0.0,,0.63,0.64,0.33,0.47
