,google-collections.csv,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv
adonthell.csv,0.85,0.79,0.84,0.51,0.53,0.93,0.91,0.86,0.6,0.53,1.0,0.63,0.61,0.55,1.0,0.88,1.0,0.6
avisynth2.csv,0.76,0.9,0.88,1.0,0.97,0.88,0.97,0.9,0.88,0.9,0.03,0.96,0.92,0.55,0.99,1.0,1.0,0.94
coot.csv,0.51,0.95,0.82,0.72,0.75,0.98,0.96,0.64,0.88,0.88,1.04,0.87,0.89,0.94,0.8,0.39,0.76,0.93
dsworkbench.csv,0.82,0.53,0.39,0.92,0.71,0.4,0.67,0.56,0.88,0.78,1.06,0.58,0.67,0.65,0.82,0.91,0.99,0.66
forester-atv.csv,0.8,0.34,0.68,0.98,0.78,1.0,0.89,0.55,0.88,0.54,0.26,0.92,0.77,0.45,0.93,0.89,0.98,0.74
freelords.csv,0.54,0.84,0.82,0.86,0.52,0.49,0.79,0.74,0.79,0.75,0.83,0.76,0.7,0.63,0.77,0.8,0.76,0.57
gabel.csv,1.0,0.73,0.83,0.69,0.79,0.6,0.74,0.9,0.37,0.53,0.74,0.85,0.65,0.94,0.85,0.81,0.93,0.85
geotools.csv,0.47,0.76,0.68,0.69,0.57,0.61,0.87,0.59,0.64,0.48,0.73,0.42,0.49,0.87,0.87,0.69,0.77,0.78
gephex.csv,0.96,0.95,1.0,0.87,0.62,0.79,0.79,0.69,0.91,0.96,1.1,1.0,0.69,0.94,0.48,0.98,0.96,0.96
google-collections.csv,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.94,1.0,0.72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jpaul.csv,0.55,0.76,0.88,0.95,0.84,0.36,0.85,0.66,0.47,0.77,0.72,0.49,0.74,0.55,0.99,0.95,0.97,0.79
neodatis-odb.csv,1.03,0.84,0.8,0.81,0.78,1.01,0.45,0.62,1.1,0.89,0.89,0.87,0.85,0.91,0.67,0.46,0.93,0.81
pokenetonline.csv,0.59,1.0,1.0,0.92,0.66,0.83,0.91,0.66,0.93,0.35,0.98,0.69,0.93,0.78,0.93,1.03,0.87,0.51
rcp-company-uibindings.csv,0.4,0.71,0.67,0.8,0.58,0.51,0.87,0.72,0.68,0.81,0.43,0.56,0.54,0.66,0.73,0.55,0.69,0.17
scenemonitor.csv,0.56,0.67,1.0,0.77,0.75,0.63,0.92,0.33,0.82,0.75,0.75,0.49,0.65,0.98,0.71,0.99,0.82,0.55
servicestack.csv,0.97,0.51,0.84,1.0,0.97,1.0,0.84,0.95,1.0,0.93,1.01,0.85,0.92,0.4,1.0,0.88,0.93,0.88
synecdoche.csv,0.5,0.78,0.73,0.68,0.66,0.97,0.77,0.77,0.96,0.79,1.01,0.92,0.67,1.0,0.74,0.76,0.5,0.57
twostep.csv,0.78,0.65,0.88,0.62,0.58,0.47,0.81,0.5,0.59,0.65,0.95,0.24,0.72,0.28,0.65,0.54,0.54,0.53
