,google-collections.csv,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv
adonthell.csv,1.0,0.42,0.75,0.69,0.85,0.14,0.27,0.43,0.11,0.91,0.05,0.46,0.36,0.36,0.63,0.43,0.39,0.98
avisynth2.csv,1.0,0.43,0.8,0.0,1.0,0.5,0.5,0.67,0.0,0.78,0.6,0.5,0.43,0.53,0.33,0.0,0.0,1.0
coot.csv,0.99,0.27,0.9,0.55,0.74,0.29,0.3,0.43,0.08,0.66,0.0,0.32,0.2,0.5,0.6,0.73,0.4,0.95
dsworkbench.csv,0.94,0.57,0.89,0.73,0.79,0.33,0.5,0.5,0.08,0.7,0.0,0.4,0.25,0.35,0.76,0.39,0.25,0.97
forester-atv.csv,0.98,0.65,0.76,0.85,0.88,0.47,0.71,0.45,0.12,0.74,0.17,0.62,0.37,0.75,0.71,0.44,0.22,0.98
freelords.csv,1.0,0.42,0.77,0.54,0.85,0.56,0.31,0.45,0.12,0.74,0.05,0.48,0.33,0.34,0.65,0.54,0.41,0.98
gabel.csv,0.0,0.52,0.82,0.74,0.87,0.5,0.31,0.67,0.2,0.83,0.04,0.9,0.36,0.5,0.59,0.88,0.25,0.99
geotools.csv,0.98,0.47,0.77,0.61,0.82,0.29,0.3,0.55,0.11,0.77,0.04,0.57,0.43,0.29,0.64,0.55,0.41,0.95
gephex.csv,1.0,0.26,0.69,0.57,0.8,0.37,0.38,0.42,0.07,0.7,0.02,0.37,0.32,0.3,0.81,0.49,0.39,0.97
google-collections.csv,1.0,0.39,0.76,0.56,0.74,0.29,0.35,0.4,0.08,0.76,0.05,0.37,0.29,0.27,0.63,0.52,0.4,0.96
jpaul.csv,1.0,0.37,0.71,0.0,0.45,0.5,0.34,0.75,0.24,0.62,0.1,0.63,0.27,0.57,0.0,0.0,0.0,1.0
neodatis-odb.csv,0.97,0.41,0.74,0.61,0.73,0.23,0.57,0.44,0.07,0.75,0.05,0.19,0.24,0.09,0.65,0.69,0.43,0.96
pokenetonline.csv,1.0,0.4,0.76,0.56,0.76,0.28,0.35,0.41,0.08,0.87,0.05,0.38,0.3,0.3,0.63,0.51,0.4,0.97
rcp-company-uibindings.csv,1.0,0.43,0.79,0.51,0.78,0.4,0.24,0.53,0.12,0.8,0.1,0.57,0.37,0.36,0.65,0.61,0.44,1.0
scenemonitor.csv,1.0,0.47,0.78,0.49,0.95,0.5,0.31,0.67,0.08,0.86,0.08,0.57,0.33,0.27,0.62,0.32,0.35,0.98
servicestack.csv,1.0,0.52,0.72,0.0,0.6,0.0,0.5,0.5,0.0,0.93,0.05,1.0,0.45,0.61,0.0,0.65,0.75,0.97
synecdoche.csv,1.0,0.43,0.75,0.62,0.78,0.11,0.3,0.34,0.03,0.78,0.0,0.3,0.32,0.1,0.67,0.69,0.63,0.98
twostep.csv,1.0,0.45,0.76,0.73,0.82,0.44,0.31,0.53,0.14,0.76,0.05,0.7,0.31,0.4,0.69,0.67,0.44,0.98
