,google-collections.csv,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv
adonthell.csv,0.0,2.0,1.0,1.0,0.0,10.0,12.0,1.0,0.0,0.0,35.0,8.0,7.0,0.0,0.0,4.0,3.0,0.0
avisynth2.csv,0.0,4.0,0.0,107.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,76.0,71.0,0.0
coot.csv,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,20.0,4.0,64.0,0.0,32.0,1.0,0.0,0.0,3.0,0.0
dsworkbench.csv,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,64.0,6.0,6.0,0.0,0.0,1.0,6.0,0.0
forester-atv.csv,0.0,0.0,1.0,0.0,1.0,57.0,0.0,4.0,6.0,1.0,12.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
freelords.csv,0.0,2.0,3.0,1.0,0.0,1.0,0.0,9.0,10.0,0.0,28.0,0.0,17.0,0.0,0.0,1.0,3.0,0.0
gabel.csv,81.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,19.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0
geotools.csv,0.0,3.0,2.0,0.0,1.0,4.0,4.0,6.0,24.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gephex.csv,0.0,5.0,3.0,1.0,0.0,1.0,0.0,10.0,20.0,0.0,64.0,0.0,10.0,0.0,0.0,1.0,3.0,0.0
google-collections.csv,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,20.0,2.0,35.0,0.0,35.0,0.0,0.0,1.0,3.0,0.0
jpaul.csv,0.0,4.0,4.0,0.0,0.0,1.0,0.0,9.0,10.0,3.0,16.0,0.0,23.0,0.0,0.0,1.0,2.0,0.0
neodatis-odb.csv,0.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,49.0,3.0,32.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0
pokenetonline.csv,0.0,3.0,3.0,1.0,0.0,1.0,0.0,7.0,15.0,0.0,35.0,0.0,33.0,0.0,0.0,1.0,3.0,0.0
rcp-company-uibindings.csv,0.0,4.0,0.0,1.0,0.0,3.0,18.0,0.0,19.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0
scenemonitor.csv,0.0,0.0,3.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,9.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0
servicestack.csv,0.0,0.0,0.0,107.0,1.0,57.0,0.0,1.0,99.0,0.0,64.0,0.0,2.0,0.0,111.0,2.0,0.0,0.0
synecdoche.csv,0.0,4.0,0.0,3.0,1.0,16.0,1.0,10.0,27.0,0.0,64.0,19.0,8.0,0.0,0.0,1.0,0.0,0.0
twostep.csv,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,37.0,0.0,19.0,0.0,0.0,1.0,2.0,0.0
