,google-collections.csv,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv
adonthell.csv,0.15,0.85,0.8,0.63,0.56,0.12,0.54,0.15,0.5,0.48,1.0,0.92,0.85,0.76,1.0,0.15,0.93,0.44
avisynth2.csv,0.2,0.23,0.24,0.0,0.04,0.12,0.03,0.1,0.0,0.12,1.0,0.04,0.11,0.47,0.01,0.0,0.0,0.05
coot.csv,0.89,0.42,0.18,0.43,0.67,0.94,0.76,0.65,0.88,0.63,0.0,0.65,0.45,0.06,0.59,0.75,0.69,0.77
dsworkbench.csv,0.19,0.5,0.68,0.13,0.33,0.18,0.3,0.3,0.12,0.12,0.0,0.54,0.21,0.35,0.27,0.22,0.14,0.25
forester-atv.csv,0.78,0.85,0.88,0.18,0.27,0.47,0.14,0.65,0.38,0.97,0.67,0.38,0.47,0.35,0.14,0.1,0.07,0.34
freelords.csv,0.7,0.88,0.96,0.88,0.7,0.82,0.68,0.85,1.0,0.67,1.0,0.77,0.91,0.76,0.9,1.0,0.76,0.46
gabel.csv,0.0,0.65,0.54,0.23,0.33,0.53,0.49,0.2,0.75,0.65,0.33,0.35,0.48,0.06,0.18,0.18,0.03,0.31
geotools.csv,0.65,0.85,0.8,0.9,0.51,0.47,0.65,0.6,0.75,0.88,0.67,0.81,0.66,1.0,0.86,0.72,1.0,0.61
gephex.csv,0.1,0.31,0.72,0.9,0.61,0.65,0.81,0.4,0.5,0.8,0.33,1.0,0.73,0.82,0.68,0.85,0.79,0.51
google-collections.csv,0.79,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jpaul.csv,0.3,0.69,0.34,0.0,0.06,1.0,0.41,0.15,0.88,0.13,1.0,0.46,0.49,0.47,0.0,0.0,0.0,0.07
neodatis-odb.csv,0.89,0.88,0.34,0.45,0.34,0.65,0.7,0.6,0.62,0.35,1.0,0.27,0.39,0.06,0.62,0.6,0.97,0.9
pokenetonline.csv,0.6,1.0,1.0,0.98,0.94,0.76,0.95,0.95,1.0,0.78,1.0,0.96,1.0,1.0,1.0,0.98,1.0,0.93
rcp-company-uibindings.csv,0.59,0.69,0.76,0.33,0.65,0.59,0.35,0.4,0.5,0.2,0.67,0.65,0.58,0.47,0.48,0.62,0.48,0.85
scenemonitor.csv,0.55,0.62,0.94,0.32,0.23,0.41,0.62,0.8,0.38,0.1,0.67,0.65,0.4,0.94,0.42,0.15,0.24,0.54
servicestack.csv,0.08,0.62,0.26,0.0,0.08,0.0,0.22,0.05,0.0,0.23,0.33,0.19,0.15,0.65,0.0,0.38,0.1,0.15
synecdoche.csv,0.48,0.38,0.36,0.3,0.87,0.12,0.38,0.55,0.12,0.23,0.0,0.62,0.41,0.18,0.54,0.28,0.66,0.52
twostep.csv,0.22,0.96,0.94,0.55,0.51,0.65,0.65,0.8,1.0,0.87,1.0,0.81,0.79,0.82,0.75,0.75,0.55,0.51
