,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.44,0.56,0.68,0.75,0.49,0.85,0.59,0.0,0.26,0.0,0.61
freedom-erp.csv,0.68,0.22,0.96,0.0,1.0,1.0,0.89,0.77,0.2,0.0,0.5
haggle.csv,0.12,0.38,0.6,0.73,0.58,0.93,0.35,0.0,0.0,0.07,0.7
jchassis.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.29,0.0
jmoney.csv,0.73,0.46,0.85,0.71,0.62,0.71,0.87,0.68,0.23,0.0,0.9
jsidplay2.csv,0.47,0.29,0.92,0.58,0.66,0.81,0.76,0.59,0.06,0.0,1.0
madman.csv,0.75,0.38,0.63,0.85,0.5,0.78,0.54,0.6,0.42,0.0,0.57
matrex.csv,0.61,0.89,0.88,1.0,0.69,1.0,0.85,0.72,0.22,0.0,1.0
mediate.csv,0.34,0.43,0.77,0.78,0.65,0.75,0.48,0.61,0.25,0.05,0.5
primefaces.csv,0.37,0.35,0.81,0.64,0.59,0.73,0.61,0.75,0.14,0.02,0.82
tmva.csv,0.36,0.33,0.75,0.64,0.57,0.89,0.49,0.58,0.14,0.0,0.62
