,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.53,0.41,0.96,0.81,0.9,0.77,0.58,1.0,0.43,1.12,0.77
freedom-erp.csv,0.38,0.94,0.63,1.0,0.85,0.98,0.89,0.4,0.67,1.0,0.86
haggle.csv,1.01,0.8,0.92,0.56,0.77,0.85,1.03,1.0,1.0,0.39,0.65
jchassis.csv,1.0,1.0,1.0,1.0,0.9,1.0,0.96,1.0,1.0,0.08,1.0
jmoney.csv,0.25,0.55,0.46,0.63,0.63,0.76,0.82,0.6,0.51,1.03,0.78
jsidplay2.csv,0.49,0.79,0.3,0.79,0.56,0.63,0.44,0.96,0.96,1.06,0.95
madman.csv,0.85,0.75,0.9,0.56,0.87,0.77,0.7,0.97,0.22,1.09,0.8
matrex.csv,0.37,0.7,0.66,0.92,0.51,0.98,0.23,0.66,0.76,1.0,0.95
mediate.csv,0.68,0.68,0.73,0.54,0.58,0.74,0.88,0.81,0.65,0.64,0.85
primefaces.csv,0.81,0.98,0.59,1.0,0.87,1.0,0.57,0.48,1.0,0.82,0.33
tmva.csv,0.83,0.75,1.0,1.0,1.0,0.35,1.0,1.0,0.74,1.25,0.82
