,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.7,0.74,0.66,0.2,0.59,0.23,0.78,0.0,0.75,0.0,0.78
freedom-erp.csv,0.65,0.07,0.37,0.0,0.15,0.02,0.11,0.77,1.0,0.0,0.45
haggle.csv,0.15,0.22,0.31,0.73,0.28,0.15,0.51,0.0,0.0,1.0,0.4
jchassis.csv,0.0,0.0,0.0,0.0,0.1,0.0,0.04,0.0,0.0,1.0,0.0
jmoney.csv,0.8,0.85,0.78,0.47,0.51,0.4,0.18,0.48,0.88,0.0,0.22
jsidplay2.csv,0.7,0.33,0.78,0.38,0.74,0.43,0.6,0.99,0.25,0.0,0.05
madman.csv,0.15,0.3,0.37,0.46,0.15,0.25,0.37,0.03,1.0,0.0,0.62
matrex.csv,0.7,0.3,0.36,0.08,0.64,0.02,0.82,0.37,0.25,0.0,0.05
mediate.csv,0.5,0.37,0.34,0.53,0.77,0.32,0.84,0.9,0.38,1.0,0.42
primefaces.csv,0.95,1.0,0.78,1.0,0.95,1.0,0.92,0.62,1.0,0.5,0.8
tmva.csv,0.95,0.52,1.0,1.0,1.0,0.75,1.0,1.0,0.38,0.0,0.9
