,google-collections.csv,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv
adonthell.csv,0.25,0.49,0.49,0.63,0.59,0.21,0.42,0.23,0.51,0.44,0.09,0.5,0.69,0.59,0.0,0.06,0.0,0.49
avisynth2.csv,0.24,0.31,0.26,0.0,0.04,0.15,0.04,0.12,0.0,0.16,0.99,0.15,0.15,0.52,0.0,0.0,0.0,0.07
coot.csv,0.0,0.14,0.0,0.29,0.46,0.48,0.54,0.55,0.53,0.37,0.0,0.14,0.21,0.0,0.45,0.74,0.48,0.31
dsworkbench.csv,0.24,0.39,0.77,0.27,0.16,0.15,0.31,0.34,0.15,0.16,0.0,0.58,0.31,0.15,0.28,0.12,0.28,0.29
forester-atv.csv,0.59,0.76,0.53,0.06,0.24,0.5,0.13,0.71,0.29,0.53,0.69,0.22,0.25,0.52,0.09,0.29,0.09,0.37
freelords.csv,0.85,0.21,0.75,0.46,0.65,0.72,0.45,0.65,0.71,0.4,0.7,0.73,0.53,0.65,0.52,0.72,0.53,0.62
gabel.csv,0.0,0.56,0.44,0.35,0.27,0.73,0.44,0.24,0.86,0.62,0.37,0.27,0.48,0.07,0.21,0.26,0.2,0.33
geotools.csv,0.0,0.6,0.68,0.52,0.58,0.6,0.49,0.64,0.62,0.17,0.59,0.61,0.61,0.48,0.45,0.59,0.48,0.31
gephex.csv,0.43,0.4,0.0,0.38,0.65,0.64,0.51,0.57,0.52,0.0,0.0,0.0,0.64,0.61,0.72,0.21,0.0,0.66
google-collections.csv,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jpaul.csv,0.36,0.5,0.61,0.0,0.07,0.89,0.22,0.29,0.75,0.12,0.38,0.47,0.47,0.4,0.0,0.0,0.0,0.12
neodatis-odb.csv,0.0,0.56,0.24,0.12,0.12,0.42,0.7,0.34,0.41,0.12,0.61,0.1,0.21,0.07,0.47,0.54,0.51,0.6
pokenetonline.csv,0.56,0.6,0.0,0.58,0.6,0.33,0.55,0.69,0.68,0.75,0.09,0.79,0.71,0.75,0.66,0.44,0.47,0.6
rcp-company-uibindings.csv,0.7,0.64,0.67,0.35,0.59,0.6,0.42,0.44,0.53,0.26,0.67,0.67,0.59,0.5,0.51,0.59,0.53,0.89
scenemonitor.csv,0.4,0.46,0.38,0.41,0.51,0.61,0.43,0.67,0.39,0.47,0.0,0.63,0.46,0.52,0.49,0.28,0.38,0.53
servicestack.csv,0.13,0.47,0.34,0.0,0.06,0.0,0.17,0.06,0.0,0.27,0.67,0.18,0.1,0.73,0.0,0.12,0.0,0.13
synecdoche.csv,0.65,0.53,0.66,0.39,0.64,0.5,0.41,0.54,0.69,0.41,0.0,0.43,0.57,0.41,0.5,0.49,0.65,0.52
twostep.csv,0.06,0.57,0.39,0.56,0.52,0.73,0.48,0.71,0.77,0.71,0.48,0.82,0.59,0.81,0.53,0.67,0.62,0.59
