,google-collections.csv,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv
adonthell.csv,0.35,0.42,0.6,0.67,0.68,0.17,0.4,0.23,0.15,0.54,0.09,0.55,0.51,0.43,0.78,0.09,0.56,0.62
avisynth2.csv,0.33,0.35,0.35,0.0,0.05,0.19,0.05,0.17,0.0,0.23,0.75,0.2,0.18,0.53,0.0,0.0,0.0,0.11
coot.csv,0.86,0.13,0.0,0.33,0.57,0.45,0.43,0.48,0.14,0.48,0.0,0.11,0.15,0.0,0.51,0.74,0.43,0.76
dsworkbench.csv,0.33,0.4,0.84,0.36,0.22,0.18,0.34,0.37,0.11,0.23,0.0,0.56,0.29,0.2,0.36,0.16,0.29,0.4
forester-atv.csv,0.76,0.7,0.63,0.09,0.33,0.42,0.19,0.63,0.19,0.66,0.2,0.26,0.23,0.57,0.12,0.36,0.1,0.52
freelords.csv,0.9,0.58,0.85,0.48,0.76,0.57,0.48,0.59,0.2,0.49,0.12,0.62,0.46,0.51,0.61,0.71,0.47,0.76
gabel.csv,0.0,0.53,0.53,0.43,0.36,0.65,0.37,0.3,0.39,0.73,0.08,0.35,0.38,0.11,0.28,0.33,0.26,0.44
geotools.csv,0.93,0.53,0.82,0.62,0.67,0.49,0.4,0.55,0.17,0.81,0.1,0.51,0.5,0.43,0.75,0.64,0.6,0.78
gephex.csv,0.55,0.35,0.86,0.67,0.78,0.47,0.5,0.49,0.13,0.83,0.0,0.54,0.49,0.44,0.76,0.67,0.55,0.83
google-collections.csv,0.9,0.55,0.86,0.71,0.84,0.45,0.51,0.55,0.15,0.84,0.09,0.54,0.44,0.42,0.78,0.68,0.57,0.98
jpaul.csv,0.48,0.43,0.71,0.0,0.11,0.73,0.21,0.37,0.34,0.17,0.18,0.49,0.33,0.48,0.0,0.0,0.0,0.18
neodatis-odb.csv,0.54,0.51,0.33,0.17,0.17,0.31,0.64,0.39,0.12,0.17,0.1,0.14,0.19,0.1,0.53,0.6,0.47,0.8
pokenetonline.csv,0.67,0.6,0.86,0.66,0.69,0.34,0.45,0.6,0.2,0.81,0.09,0.71,0.52,0.6,0.75,0.48,0.41,0.72
rcp-company-uibindings.csv,0.79,0.56,0.81,0.38,0.68,0.49,0.33,0.42,0.19,0.34,0.15,0.63,0.46,0.4,0.57,0.6,0.48,0.93
scenemonitor.csv,0.52,0.4,0.79,0.45,0.61,0.5,0.39,0.65,0.1,0.61,0.0,0.55,0.42,0.43,0.55,0.3,0.37,0.67
servicestack.csv,0.2,0.52,0.43,0.0,0.09,0.0,0.22,0.09,0.0,0.38,0.17,0.27,0.14,0.65,0.0,0.17,0.0,0.19
synecdoche.csv,0.75,0.46,0.8,0.47,0.82,0.42,0.33,0.46,0.2,0.51,0.0,0.46,0.45,0.27,0.57,0.55,0.67,0.66
twostep.csv,0.1,0.61,0.8,0.6,0.62,0.58,0.45,0.62,0.23,0.83,0.08,0.78,0.43,0.67,0.6,0.67,0.55,0.72
