,google-collections.csv,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv
adonthell.csv,0.21,0.54,0.5,0.6,0.57,0.18,0.65,0.2,0.5,0.4,1.0,0.92,0.81,0.59,1.0,0.05,0.97,0.45
avisynth2.csv,0.2,0.27,0.22,0.0,0.03,0.12,0.03,0.1,0.0,0.13,1.0,0.12,0.12,0.47,0.0,0.0,0.0,0.06
coot.csv,0.78,0.12,0.0,0.25,0.49,0.88,0.57,0.55,0.62,0.42,0.0,0.12,0.18,0.0,0.44,0.75,0.48,0.63
dsworkbench.csv,0.2,0.35,0.78,0.23,0.13,0.12,0.27,0.3,0.12,0.13,0.0,0.54,0.27,0.12,0.24,0.1,0.24,0.25
forester-atv.csv,0.62,0.77,0.48,0.05,0.2,0.47,0.11,0.75,0.25,0.63,0.67,0.19,0.22,0.47,0.07,0.25,0.07,0.36
freelords.csv,0.82,1.0,0.86,0.45,0.73,0.76,0.81,0.85,0.88,0.35,1.0,0.88,0.89,0.65,0.61,0.8,0.62,0.62
gabel.csv,0.0,0.54,0.4,0.3,0.23,0.71,0.43,0.2,0.88,0.72,0.33,0.23,0.45,0.06,0.18,0.22,0.17,0.29
geotools.csv,0.89,0.69,0.84,0.72,0.57,0.59,0.51,0.7,0.88,0.95,0.67,0.69,0.59,0.88,0.89,0.78,0.97,0.66
gephex.csv,0.38,0.42,1.0,0.85,0.78,0.76,0.84,0.6,0.62,1.0,0.0,1.0,0.88,0.82,0.75,0.95,0.93,0.72
google-collections.csv,0.82,0.96,1.0,1.0,0.99,1.0,1.0,0.95,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jpaul.csv,0.31,0.5,0.64,0.0,0.06,0.94,0.19,0.25,0.75,0.1,0.33,0.42,0.46,0.35,0.0,0.0,0.0,0.1
neodatis-odb.csv,0.38,0.69,0.2,0.1,0.1,0.41,0.68,0.3,0.38,0.1,0.67,0.08,0.18,0.06,0.44,0.5,0.62,0.68
pokenetonline.csv,0.5,0.92,1.0,0.77,0.58,0.29,0.68,0.75,0.75,0.73,1.0,0.81,0.86,0.76,0.82,0.52,0.52,0.57
rcp-company-uibindings.csv,0.65,0.77,0.82,0.32,0.59,0.59,0.43,0.4,0.5,0.22,0.67,0.65,0.59,0.47,0.51,0.62,0.52,0.87
scenemonitor.csv,0.35,0.46,0.84,0.38,0.47,0.59,0.62,0.65,0.38,0.57,0.0,0.81,0.42,0.88,0.49,0.25,0.34,0.51
servicestack.csv,0.11,0.42,0.3,0.0,0.05,0.0,0.14,0.05,0.0,0.23,0.67,0.15,0.08,0.71,0.0,0.1,0.0,0.11
synecdoche.csv,0.6,0.58,0.8,0.35,0.86,0.47,0.41,0.6,0.75,0.37,0.0,0.73,0.56,0.41,0.48,0.45,0.62,0.5
twostep.csv,0.05,0.96,0.86,0.53,0.49,0.76,0.73,0.9,1.0,0.88,0.67,0.81,0.75,0.82,0.56,0.7,0.66,0.57
