,google-collections.csv,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv
adonthell.csv,0.94,0.38,0.56,0.68,0.49,0.72,0.4,0.8,0.48,0.62,0.41,0.41,0.39,0.5,0.35,0.86,0.37,0.54
avisynth2.csv,0.88,0.79,0.92,0.0,0.5,0.75,0.67,0.67,0.75,0.9,0.8,0.75,0.96,0.62,0.5,0.0,0.0,0.93
coot.csv,0.44,0.95,0.0,0.5,0.68,0.51,0.66,0.5,0.68,0.55,0.0,0.87,0.94,0.0,0.47,0.41,0.39,0.58
dsworkbench.csv,0.75,0.63,0.44,0.94,0.92,0.8,0.81,0.75,0.91,0.89,0.84,0.54,0.68,0.67,0.96,0.89,0.95,0.67
forester-atv.csv,0.45,0.45,0.5,0.75,0.94,0.57,0.8,0.39,0.92,0.42,0.71,0.92,0.67,0.82,0.9,0.75,0.91,0.59
freelords.csv,0.35,0.33,0.35,0.42,0.44,0.38,0.43,0.34,0.42,0.56,0.42,0.33,0.38,0.42,0.35,0.36,0.34,0.39
gabel.csv,0.0,0.56,0.48,0.71,0.67,0.5,0.42,0.86,0.61,0.36,0.67,0.88,0.55,0.0,0.86,0.73,0.89,0.63
geotools.csv,0.4,0.31,0.4,0.51,0.43,0.42,0.44,0.39,0.4,0.35,0.46,0.45,0.47,0.43,0.36,0.49,0.34,0.43
gephex.csv,0.57,0.46,0.36,0.52,0.38,0.45,0.38,0.48,0.49,0.33,0.53,0.42,0.37,0.41,0.52,0.45,0.39,0.4
google-collections.csv,0.36,0.35,0.36,0.44,0.39,0.45,0.4,0.33,0.46,0.35,0.4,0.42,0.41,0.41,0.35,0.45,0.38,0.39
jpaul.csv,0.68,0.47,0.42,0.0,0.9,0.44,0.83,0.86,0.67,0.9,0.88,0.58,0.61,0.88,0.0,0.0,0.0,0.96
neodatis-odb.csv,0.62,0.42,0.91,0.9,0.92,0.57,0.76,0.73,0.65,0.89,0.56,0.67,0.81,0.75,0.5,0.52,0.38,0.51
pokenetonline.csv,0.42,0.3,0.36,0.59,0.44,0.58,0.41,0.37,0.38,0.42,0.41,0.42,0.38,0.5,0.45,0.62,0.55,0.42
rcp-company-uibindings.csv,0.37,0.33,0.37,0.45,0.49,0.38,0.42,0.56,0.47,0.75,0.42,0.43,0.45,0.48,0.39,0.35,0.42,0.43
scenemonitor.csv,0.54,0.38,0.41,0.53,0.58,0.57,0.42,0.45,0.66,0.5,0.88,0.43,0.62,0.42,0.48,0.85,0.52,0.46
servicestack.csv,0.89,0.75,0.8,0.0,0.83,0.0,0.89,0.5,0.5,0.93,0.62,0.75,0.94,0.6,0.0,0.86,0.0,0.96
synecdoche.csv,0.4,0.38,0.38,0.73,0.36,0.38,0.45,0.44,0.41,0.56,0.88,0.47,0.44,0.53,0.51,0.52,0.6,0.48
twostep.csv,0.75,0.34,0.39,0.51,0.45,0.54,0.39,0.37,0.4,0.35,0.46,0.46,0.42,0.52,0.43,0.39,0.38,0.43
