,google-collections.csv,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv
adonthell.csv,1.0,0.35,0.74,0.77,0.85,0.17,0.29,0.27,0.09,0.83,0.05,0.39,0.37,0.33,0.63,0.29,0.39,0.98
avisynth2.csv,1.0,0.5,0.92,0.0,1.0,0.5,0.33,0.67,0.0,0.8,0.6,0.75,0.38,0.62,0.0,0.0,0.0,1.0
coot.csv,0.97,0.16,0.0,0.5,0.68,0.31,0.34,0.42,0.08,0.57,0.0,0.1,0.14,0.0,0.61,0.73,0.39,0.94
dsworkbench.csv,1.0,0.47,0.91,0.78,0.83,0.4,0.48,0.5,0.09,0.89,0.0,0.58,0.31,0.67,0.71,0.44,0.35,0.98
forester-atv.csv,0.98,0.65,0.92,0.75,0.89,0.38,0.8,0.54,0.15,0.69,0.12,0.42,0.23,0.73,0.5,0.62,0.18,0.94
freelords.csv,1.0,0.41,0.84,0.52,0.79,0.45,0.34,0.45,0.11,0.84,0.07,0.48,0.31,0.42,0.61,0.64,0.38,0.97
gabel.csv,0.0,0.52,0.8,0.75,0.86,0.6,0.32,0.57,0.25,0.74,0.05,0.75,0.33,1.0,0.59,0.6,0.56,0.97
geotools.csv,0.97,0.43,0.81,0.54,0.8,0.42,0.32,0.45,0.1,0.7,0.05,0.41,0.44,0.28,0.64,0.54,0.44,0.95
gephex.csv,1.0,0.3,0.76,0.55,0.78,0.34,0.36,0.41,0.07,0.71,0.0,0.37,0.34,0.3,0.77,0.52,0.39,0.97
google-collections.csv,1.0,0.38,0.76,0.56,0.74,0.29,0.35,0.39,0.08,0.74,0.05,0.37,0.28,0.27,0.63,0.52,0.4,0.96
jpaul.csv,1.0,0.38,0.8,0.0,0.5,0.59,0.24,0.71,0.22,0.6,0.12,0.58,0.26,0.75,0.0,0.0,0.0,1.0
neodatis-odb.csv,0.94,0.4,0.91,0.6,0.62,0.25,0.61,0.55,0.07,0.67,0.06,0.67,0.21,0.25,0.67,0.74,0.38,0.96
pokenetonline.csv,1.0,0.44,0.76,0.57,0.84,0.42,0.34,0.5,0.12,0.92,0.05,0.64,0.37,0.5,0.69,0.44,0.34,0.99
rcp-company-uibindings.csv,1.0,0.44,0.8,0.48,0.8,0.42,0.27,0.44,0.12,0.81,0.08,0.61,0.37,0.35,0.64,0.58,0.45,1.0
scenemonitor.csv,1.0,0.35,0.75,0.53,0.86,0.43,0.29,0.65,0.06,0.65,0.0,0.41,0.41,0.29,0.62,0.38,0.4,0.97
servicestack.csv,1.0,0.69,0.75,0.0,0.67,0.0,0.56,0.5,0.0,1.0,0.1,1.0,0.41,0.6,0.0,0.57,0.0,1.0
synecdoche.csv,1.0,0.38,0.8,0.7,0.78,0.38,0.27,0.38,0.12,0.81,0.0,0.33,0.38,0.21,0.69,0.72,0.72,0.97
twostep.csv,1.0,0.45,0.75,0.68,0.83,0.46,0.33,0.47,0.13,0.78,0.04,0.75,0.3,0.56,0.63,0.64,0.48,0.98
