,google-collections.csv,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv
adonthell.csv,0.79,0.8,0.75,0.46,0.52,0.9,0.9,0.87,0.66,0.63,0.98,0.83,0.59,0.6,1.0,0.96,1.0,0.58
avisynth2.csv,0.8,0.75,0.78,1.0,0.97,0.88,0.97,0.9,1.0,0.87,0.03,0.88,0.89,0.54,1.0,1.0,1.0,0.94
coot.csv,1.02,0.97,1.0,0.81,0.82,0.84,0.72,0.65,0.76,0.96,1.0,1.08,0.94,1.0,0.75,0.39,0.73,0.97
dsworkbench.csv,0.8,0.7,0.33,0.77,0.88,0.89,0.75,0.72,0.88,0.87,1.05,0.51,0.77,0.88,0.78,0.91,0.82,0.76
forester-atv.csv,0.62,0.36,0.53,0.95,0.8,0.62,0.89,0.48,0.76,0.77,0.41,0.82,0.83,0.53,0.94,0.77,0.95,0.88
freelords.csv,0.18,0.95,0.52,0.76,0.6,0.46,0.86,0.67,0.61,0.67,0.68,0.57,0.81,0.48,0.79,0.53,0.77,0.55
gabel.csv,1.0,0.56,0.68,0.71,0.78,0.35,0.75,0.81,0.26,0.66,0.74,0.77,0.66,0.94,0.85,0.79,0.83,0.74
geotools.csv,1.01,0.67,0.65,0.8,0.58,0.53,0.75,0.61,0.73,0.96,0.68,0.65,0.51,0.83,0.86,0.74,0.84,0.96
gephex.csv,0.62,0.87,1.0,0.89,0.64,0.65,0.82,0.67,0.78,1.0,1.16,1.0,0.7,0.72,0.47,0.95,1.0,0.57
google-collections.csv,0.18,1.0,1.0,1.0,1.0,1.0,1.0,0.94,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jpaul.csv,0.69,0.72,0.62,1.0,0.95,0.27,0.87,0.75,0.34,0.91,0.68,0.6,0.74,0.65,1.0,1.0,1.0,0.9
neodatis-odb.csv,1.18,0.74,0.8,0.9,0.92,0.78,0.4,0.72,0.76,0.91,0.64,0.92,0.86,0.94,0.67,0.53,0.79,0.68
pokenetonline.csv,0.5,0.75,1.0,0.75,0.53,0.73,0.76,0.53,0.56,0.31,0.98,0.33,0.6,0.37,0.66,0.87,0.83,0.47
rcp-company-uibindings.csv,0.35,0.67,0.65,0.81,0.59,0.53,0.85,0.68,0.6,0.79,0.49,0.42,0.57,0.62,0.69,0.61,0.64,0.13
scenemonitor.csv,0.65,0.77,0.89,0.74,0.57,0.52,0.9,0.41,0.83,0.84,1.01,0.69,0.63,0.81,0.72,0.87,0.74,0.63
servicestack.csv,0.89,0.59,0.77,1.0,0.95,1.0,0.87,0.95,1.0,0.77,0.45,0.85,0.92,0.34,1.0,0.9,1.0,0.89
synecdoche.csv,0.4,0.73,0.66,0.68,0.69,0.62,0.82,0.74,0.55,0.66,1.01,0.89,0.57,0.83,0.64,0.58,0.41,0.64
twostep.csv,0.95,0.78,0.89,0.56,0.58,0.43,0.84,0.63,0.6,0.61,0.84,0.25,0.73,0.3,0.71,0.53,0.6,0.52
