,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.62,0.58,0.31,0.43,0.19,0.18,0.7,0.24,0.35,0.29,0.35,0.45,0.55,0.16
doomlegacy.csv,0.82,0.86,0.67,0.86,0.19,0.36,0.62,0.82,0.52,0.74,0.35,1.0,0.92,0.19
empserver.csv,0.7,0.97,0.79,0.57,0.67,1.0,0.77,0.8,0.6,0.9,0.81,0.82,0.9,0.34
fritzing.csv,0.76,0.69,0.5,0.29,0.31,0.45,0.7,0.96,0.46,0.2,0.54,0.27,0.43,0.53
ifmo-game-1.csv,0.7,0.04,0.08,0.86,0.42,0.0,0.96,0.11,0.11,0.06,0.04,0.0,0.13,0.1
jparsec.csv,0.62,0.11,0.86,0.71,1.0,0.73,0.89,0.76,1.0,0.79,0.65,0.86,0.66,0.99
lmms.csv,0.72,0.61,0.69,0.43,0.58,0.18,0.96,0.69,0.97,0.38,0.46,0.55,0.56,0.7
lufa-lib.csv,0.3,0.65,0.52,0.14,0.14,0.27,0.57,0.8,0.7,0.39,0.69,0.5,0.32,0.36
pgui.csv,0.56,1.0,0.07,1.0,0.72,0.0,0.7,0.89,0.99,0.04,0.54,1.0,0.32,0.0
pi-qmc.csv,0.26,0.14,0.68,0.29,0.78,0.91,0.85,0.49,0.87,0.64,0.58,0.82,0.29,0.8
repositorium.csv,0.08,0.04,0.46,0.57,0.19,0.73,0.0,0.13,0.06,0.38,0.46,0.32,0.19,0.11
superwaba.csv,0.68,0.72,0.38,0.57,0.42,0.64,0.64,0.58,0.29,0.3,0.35,0.27,0.96,0.23
xapian.csv,1.0,0.83,0.69,0.86,0.42,0.82,0.72,0.44,0.67,0.62,0.69,0.45,0.78,0.34
zemljanka.csv,0.76,0.78,0.75,0.86,0.72,0.73,0.74,0.98,0.54,0.8,0.96,0.77,0.73,0.79
