,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.27,0.18,0.29,0.23,0.28,0.14,0.24,0.52,0.25,0.44,0.46,0.29,0.07,0.16,0.65,0.75,0.52,0.11,0.22
amygdala.csv,0.63,0.11,0.64,0.23,0.11,0.29,0.53,0.74,0.58,0.8,0.4,0.37,0.31,0.47,0.5,0.7,0.93,0.17,0.09
awemud.csv,0.77,0.47,0.71,0.83,0.78,0.19,0.87,0.7,0.78,0.07,0.99,0.71,0.47,0.69,0.54,0.95,0.86,0.61,0.53
bullet.csv,1.0,0.64,0.95,0.18,0.33,0.86,0.79,0.8,0.75,1.0,0.96,0.89,0.92,0.82,0.77,0.95,0.97,0.67,0.4
customwars.csv,0.0,0.04,0.02,0.01,0.0,0.0,0.01,0.08,0.0,0.07,0.01,0.03,0.0,0.0,0.04,0.0,0.0,0.0,0.0
dvd-create.csv,0.77,0.82,0.62,1.0,0.56,0.38,1.0,0.96,0.98,0.66,0.99,0.57,0.73,0.92,0.85,0.7,0.9,0.72,0.76
gbif-indexingtoolkit.csv,0.53,0.98,0.07,1.0,1.0,0.24,0.56,0.0,0.67,0.0,0.38,0.51,0.76,0.06,0.12,0.95,0.41,0.72,0.99
go.csv,0.8,0.33,0.41,0.75,0.5,0.38,0.51,0.84,0.51,0.0,0.93,0.51,0.31,0.49,0.77,0.65,0.83,0.33,0.54
growl-for-windows.csv,0.53,0.0,0.34,0.0,0.06,0.05,0.66,0.78,0.0,0.0,1.0,0.74,0.0,0.29,0.65,0.95,0.34,0.28,0.01
gss.csv,0.77,0.71,0.84,0.08,0.28,0.81,0.51,0.78,0.5,0.0,0.88,0.69,0.6,0.92,0.92,0.4,0.72,0.89,0.25
kwave.csv,0.03,0.04,0.05,0.11,0.0,0.1,0.07,0.34,0.05,0.15,0.11,0.17,0.15,0.45,0.08,0.0,0.14,0.06,0.04
libarchive.csv,0.57,0.58,0.45,0.52,0.44,0.67,0.52,0.94,0.62,0.63,0.96,0.43,0.59,0.98,0.85,0.45,0.86,0.78,0.16
linux-ntfs.csv,0.37,0.51,0.55,0.18,0.44,0.48,0.26,0.36,0.03,0.39,0.52,0.43,0.54,0.57,0.73,0.5,0.31,0.83,0.35
lsb.csv,0.2,0.47,0.46,0.01,0.72,0.29,0.09,0.16,0.03,0.0,0.67,0.34,0.03,0.12,0.38,0.75,0.21,0.28,0.19
mpgravity.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qcad2.csv,0.23,0.02,0.09,0.24,0.0,0.38,0.18,0.5,0.24,0.15,0.37,0.2,0.11,0.41,0.69,0.8,0.52,0.44,0.24
qtwin.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.01,0.0,0.08,0.0,0.0,0.0,0.0
roller.csv,0.67,0.98,0.86,1.0,1.0,1.0,0.93,0.76,0.88,0.8,0.86,0.89,0.94,0.29,0.77,0.9,1.0,0.89,1.0
xinity.csv,0.63,0.93,0.21,1.0,0.89,0.67,0.82,0.52,0.76,1.0,0.45,0.63,0.97,0.47,0.5,0.95,0.76,0.44,0.93
