,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.18,0.16,0.15,0.16,0.2,0.14,0.16,0.23,0.15,0.17,0.21,0.19,0.13,0.21,0.21,0.28,0.18,0.11,0.21
amygdala.csv,0.27,0.17,0.28,0.18,0.17,0.22,0.28,0.31,0.36,0.28,0.24,0.26,0.23,0.3,0.24,0.3,0.36,0.39,0.28
awemud.csv,0.33,0.31,0.26,0.52,0.32,0.2,0.42,0.28,0.38,0.38,0.33,0.34,0.3,0.3,0.22,0.3,0.31,0.37,0.34
bullet.csv,0.4,0.31,0.38,0.19,0.2,0.35,0.39,0.34,0.38,0.38,0.33,0.38,0.4,0.33,0.28,0.32,0.38,0.19,0.25
customwars.csv,0.37,0.35,0.38,0.52,0.38,0.38,0.43,0.36,0.47,0.26,0.32,0.4,0.43,0.34,0.3,0.3,0.4,0.37,0.42
dvd-create.csv,0.3,0.35,0.28,0.55,0.34,0.26,0.46,0.34,0.47,0.3,0.33,0.3,0.36,0.33,0.27,0.3,0.36,0.22,0.36
gbif-indexingtoolkit.csv,0.37,0.4,0.4,0.55,0.39,0.32,0.41,0.36,0.46,0.38,0.22,0.33,0.42,0.33,0.27,0.32,0.36,0.41,0.44
go.csv,0.35,0.3,0.22,0.46,0.25,0.2,0.28,0.3,0.25,0.38,0.29,0.3,0.24,0.26,0.25,0.28,0.31,0.37,0.34
growl-for-windows.csv,0.27,0.4,0.17,0.55,0.28,0.34,0.32,0.28,0.47,0.38,0.33,0.34,0.43,0.21,0.22,0.3,0.16,0.35,0.09
gss.csv,0.31,0.29,0.31,0.12,0.23,0.31,0.23,0.26,0.22,0.38,0.29,0.3,0.27,0.3,0.27,0.24,0.25,0.24,0.17
kwave.csv,0.4,0.39,0.39,0.42,0.38,0.38,0.38,0.26,0.45,0.19,0.31,0.18,0.33,0.29,0.27,0.32,0.2,0.43,0.44
libarchive.csv,0.29,0.29,0.18,0.29,0.21,0.25,0.26,0.31,0.28,0.23,0.31,0.25,0.27,0.34,0.27,0.26,0.29,0.41,0.16
linux-ntfs.csv,0.21,0.25,0.22,0.17,0.24,0.24,0.19,0.2,0.41,0.21,0.23,0.23,0.27,0.25,0.21,0.26,0.25,0.22,0.22
lsb.csv,0.16,0.28,0.24,0.08,0.34,0.25,0.11,0.16,0.41,0.38,0.29,0.23,0.17,0.24,0.18,0.3,0.16,0.33,0.18
mpgravity.csv,0.41,0.4,0.4,0.55,0.39,0.38,0.46,0.36,0.47,0.38,0.33,0.41,0.43,0.34,0.3,0.32,0.4,0.43,0.44
qcad2.csv,0.18,0.15,0.24,0.24,0.27,0.17,0.18,0.26,0.19,0.13,0.27,0.29,0.14,0.24,0.28,0.3,0.25,0.41,0.2
qtwin.csv,0.41,0.4,0.4,0.55,0.39,0.38,0.46,0.33,0.47,0.38,0.33,0.41,0.42,0.33,0.27,0.32,0.4,0.43,0.44
roller.csv,0.37,0.39,0.39,0.55,0.39,0.36,0.46,0.26,0.46,0.34,0.29,0.4,0.42,0.25,0.24,0.3,0.4,0.41,0.44
xinity.csv,0.39,0.4,0.29,0.55,0.39,0.36,0.46,0.23,0.46,0.38,0.25,0.37,0.43,0.24,0.25,0.32,0.4,0.41,0.44
