,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv
acdk.csv,0.57,0.59,0.72,0.94,0.57,0.57,0.75,0.52,0.72,0.52,0.7,0.88,0.55,0.49,0.44,0.75
amygdala.csv,0.68,0.0,0.75,0.83,0.0,0.49,0.59,0.53,0.66,0.0,0.65,0.5,0.65,0.82,0.6,0.6
awemud.csv,0.43,0.38,0.76,0.78,0.37,0.52,0.43,0.52,0.56,0.0,0.38,0.55,0.45,0.45,0.44,0.5
bullet.csv,0.36,0.41,0.43,0.93,0.39,0.4,0.47,0.68,0.88,0.55,0.49,0.42,0.62,0.49,0.42,0.36
customwars.csv,0.85,0.77,0.69,0.68,0.62,0.6,0.74,0.67,1.0,0.67,0.93,0.93,0.52,0.63,0.59,0.73
dvd-create.csv,0.37,0.39,0.42,0.64,0.39,0.4,0.43,0.37,0.44,0.47,0.37,0.4,0.55,0.42,0.37,0.44
gbif-indexingtoolkit.csv,0.94,0.74,0.88,0.72,0.74,0.83,0.9,0.9,0.82,0.4,0.65,0.82,0.58,0.88,0.92,0.89
go.csv,0.39,0.46,0.47,0.76,0.45,0.4,0.47,0.33,0.53,0.86,0.34,0.43,0.49,0.42,0.33,0.38
gss.csv,0.45,0.43,0.45,0.66,0.45,0.47,0.6,0.4,0.66,0.75,0.34,0.67,0.52,0.39,0.39,0.4
kwave.csv,0.58,0.6,0.94,0.98,0.92,0.59,0.77,0.8,0.69,0.64,0.49,0.61,0.95,0.79,0.54,0.63
lsb.csv,0.41,0.44,0.47,0.56,0.43,0.45,0.57,0.39,0.56,0.0,0.39,0.53,0.48,0.39,0.3,0.5
mpgravity.csv,0.46,0.68,0.58,0.66,0.59,0.41,0.45,0.43,0.68,0.69,0.48,0.55,0.45,0.48,0.42,0.48
qcad2.csv,0.62,0.48,0.91,0.97,0.72,0.92,0.6,0.69,0.7,0.0,0.63,0.89,0.94,0.83,0.63,0.7
qtwin.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roller.csv,0.58,0.47,0.88,0.64,0.47,0.81,0.51,0.43,0.52,0.85,0.42,0.49,0.48,0.44,0.34,0.43
xinity.csv,0.59,0.78,0.87,0.67,0.94,0.7,0.75,0.36,0.59,0.0,0.48,0.84,0.64,0.64,0.41,0.38
