,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv
acdk.csv,0.32,0.32,0.31,0.11,0.26,0.28,0.25,0.55,0.5,0.25,0.29,0.18,0.97,0.65,0.49,0.13
amygdala.csv,0.35,0.0,0.06,0.11,0.0,0.46,0.52,0.36,0.17,0.0,0.29,0.97,0.34,0.35,0.41,0.27
awemud.csv,0.97,0.65,0.12,0.31,0.69,0.4,0.67,0.36,1.0,0.0,0.65,0.5,0.71,0.55,0.41,0.5
bullet.csv,0.86,0.85,0.62,0.29,0.61,0.99,0.88,0.18,0.17,0.5,0.53,0.89,0.54,0.55,0.61,0.8
customwars.csv,0.24,0.28,0.25,0.51,0.39,0.36,0.38,0.36,0.67,0.25,0.82,0.21,0.75,0.31,0.44,0.3
dvd-create.csv,0.88,0.91,0.94,0.69,0.99,0.72,0.92,0.73,1.0,0.75,0.71,0.89,0.48,0.57,0.71,0.63
gbif-indexingtoolkit.csv,0.31,0.32,0.38,0.4,0.38,0.27,0.27,0.91,0.17,0.83,0.41,0.29,0.6,0.08,0.15,0.27
go.csv,0.78,1.0,0.38,0.42,0.62,0.58,0.88,0.73,0.83,0.33,1.0,0.84,0.81,0.69,0.85,0.87
gss.csv,0.53,0.61,0.44,0.44,0.43,0.43,0.6,0.45,1.0,0.25,0.94,0.37,0.71,0.52,0.63,1.0
kwave.csv,0.45,0.47,1.0,0.0,0.14,0.33,0.44,0.09,0.83,0.42,0.41,0.5,0.12,0.35,0.34,0.47
lsb.csv,0.78,0.76,0.44,0.78,0.55,0.69,0.79,0.73,0.83,0.0,0.88,0.47,0.81,0.79,0.8,0.53
mpgravity.csv,0.54,0.41,0.25,0.47,0.35,0.45,0.73,0.73,1.0,1.0,0.65,0.5,0.8,0.6,0.56,0.53
qcad2.csv,0.31,0.72,0.31,0.07,0.36,0.16,0.98,0.36,0.33,0.0,0.47,0.13,0.21,0.27,0.27,0.33
qtwin.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roller.csv,0.49,0.77,0.38,0.84,0.62,0.25,0.75,0.45,0.67,0.33,0.59,0.63,0.86,0.99,0.68,0.63
xinity.csv,0.44,0.33,0.25,0.71,0.16,0.27,0.38,0.36,0.33,0.0,0.59,0.32,0.41,0.41,1.0,0.73
