,unladen-swallow.csv,flylegacy.csv,gotjava.csv,novembre.csv,k3d.csv,qtwin.csv,empserver.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,acdk.csv,galaxium.csv,auber.csv,cortex-vfx.csv,duplicati.csv,linux-ntfs.csv,growl-for-windows.csv,tweetsharp.csv,libarchive.csv
acdk.csv,0.19,0.82,0.0,0.5,0.17,0.01,0.67,0.14,0.86,0.55,0.56,0.62,0.66,0.28,1.0,0.5,0.89,0.83,0.62
auber.csv,0.12,0.72,0.0,0.37,0.14,0.0,0.5,0.1,0.77,0.29,0.19,0.35,0.8,0.27,0.98,0.48,0.5,0.77,0.46
cortex-vfx.csv,0.21,0.92,0.0,0.4,0.29,0.01,0.67,0.21,0.83,0.48,0.36,0.64,0.68,0.4,1.0,0.54,0.83,0.86,0.57
empserver.csv,0.18,0.78,0.0,0.43,0.16,0.01,0.7,0.17,0.82,0.37,0.38,0.46,0.59,0.25,1.0,0.49,0.8,0.76,0.58
flylegacy.csv,0.16,0.89,0.0,0.39,0.18,0.01,0.67,0.2,0.76,0.32,0.32,0.23,0.7,0.29,0.97,0.47,0.72,0.65,1.0
galaxium.csv,0.21,0.75,0.0,0.35,0.15,0.01,0.67,0.23,0.86,0.55,0.5,0.72,0.66,0.27,1.0,0.49,0.63,0.69,0.87
growl-for-windows.csv,0.0,0.0,0.0,0.3,0.0,0.0,0.75,0.25,0.81,0.88,0.0,0.58,0.62,1.0,1.0,0.55,0.93,0.72,1.0
k3d.csv,0.13,0.67,0.12,0.23,0.48,0.0,0.52,0.2,0.33,0.29,0.0,0.39,0.68,0.3,1.0,0.35,0.33,0.75,0.49
libarchive.csv,0.15,0.74,0.0,0.28,0.16,0.0,0.51,0.21,0.75,0.38,0.38,0.37,0.63,0.21,1.0,0.42,0.72,0.72,0.66
linux-ntfs.csv,0.2,0.77,0.0,0.32,0.11,0.01,0.52,0.16,0.75,0.28,0.35,0.34,0.67,0.52,0.97,0.62,0.58,0.73,0.52
m-a-d-n-e-s-s.csv,0.23,0.81,0.0,0.45,0.21,0.01,0.56,0.0,1.0,0.56,0.78,0.5,0.77,0.37,1.0,0.72,0.56,0.6,0.62
novembre.csv,0.23,0.83,0.0,0.58,0.12,0.01,0.48,0.0,0.71,0.5,0.42,0.56,0.88,0.38,1.0,0.67,1.0,1.0,0.47
qtwin.csv,0.18,0.75,0.0,1.0,0.35,0.03,0.0,0.2,0.71,0.75,0.35,0.14,0.83,0.25,1.0,0.6,0.67,0.33,0.0
st-filteredstatistics.csv,0.13,0.73,0.0,0.27,0.08,0.0,0.51,0.19,0.89,0.3,0.3,0.31,0.65,0.22,0.98,0.54,0.67,0.74,0.44
tweetsharp.csv,0.06,1.0,0.0,0.23,0.2,0.0,0.57,0.17,0.74,0.25,0.16,0.25,0.46,0.22,0.98,0.27,0.71,0.89,0.37
unladen-swallow.csv,0.22,0.78,0.0,0.28,0.14,0.01,0.44,0.2,0.85,0.32,0.45,0.41,0.5,0.3,1.0,1.0,0.65,0.69,0.65
wishmaster.csv,0.18,0.7,0.01,0.24,0.05,0.01,0.41,0.39,0.5,0.5,0.52,0.29,0.52,0.25,1.0,1.0,0.69,0.4,0.78
