,lsb.csv,mcore3d.csv,yield.csv,maya-work-in-progress.csv,mscore.csv,hydrogen.csv,xemeiah.csv,virtuoso.csv,enzo.csv,xined.csv,lphant.csv,salasaga.csv,keyczar.csv,xtreemfs.csv,autowikibrowser.csv,rocrail.csv,natpad.csv
autowikibrowser.csv,0.64,0.57,0.46,0.57,0.44,0.52,0.45,0.45,0.53,0.42,0.47,0.52,0.47,0.61,0.47,0.33,0.5
enzo.csv,0.62,0.37,0.46,0.47,0.39,0.47,0.38,0.34,0.4,0.38,0.39,0.43,0.38,0.45,0.36,0.38,0.36
hydrogen.csv,0.6,0.95,0.84,0.0,0.68,0.81,0.8,0.39,0.92,0.8,0.9,0.88,0.75,0.87,0.6,0.45,0.39
keyczar.csv,0.62,0.61,0.68,0.45,0.62,0.68,0.64,0.62,0.43,0.65,0.5,0.62,0.45,0.59,0.56,0.61,0.45
lphant.csv,0.74,0.56,0.57,0.63,0.43,0.59,0.56,0.37,0.38,0.44,0.5,0.49,0.38,0.47,0.43,0.37,0.34
lsb.csv,0.52,0.39,0.41,0.45,0.37,0.51,0.36,0.33,0.34,0.32,0.33,0.43,0.4,0.3,0.37,0.35,0.36
maya-work-in-progress.csv,0.61,0.38,0.43,0.5,0.36,0.47,0.43,0.37,0.44,0.33,0.32,0.37,0.38,0.3,0.36,0.35,0.36
mcore3d.csv,0.78,0.46,0.52,0.56,0.85,0.75,0.49,0.97,0.89,0.39,0.4,0.49,0.73,0.44,0.42,0.54,0.86
mscore.csv,0.94,0.43,0.71,0.61,0.46,0.49,0.42,0.37,0.55,0.34,0.55,0.55,0.5,0.58,0.51,0.38,0.39
natpad.csv,0.57,0.57,0.63,0.62,0.48,0.6,0.57,0.42,0.46,0.41,0.46,0.46,0.5,0.38,0.58,0.57,0.56
rocrail.csv,0.0,0.96,0.92,0.8,0.79,0.61,0.94,0.9,0.95,0.78,0.8,0.71,0.9,0.96,0.88,0.68,0.89
salasaga.csv,0.64,0.65,0.51,0.48,0.48,0.57,0.59,0.54,0.57,0.68,0.51,0.92,0.49,0.41,0.48,0.52,0.65
virtuoso.csv,0.57,0.41,0.47,0.46,0.39,0.52,0.45,0.73,0.43,0.52,0.35,0.48,0.9,0.31,0.41,0.44,0.43
xemeiah.csv,0.75,0.48,0.56,0.86,0.57,0.67,0.59,0.37,0.55,0.42,0.53,0.52,0.64,0.5,0.48,0.41,0.36
xined.csv,0.63,0.96,0.97,0.85,0.81,0.91,0.97,0.94,0.93,0.9,0.56,0.61,0.5,0.47,0.67,0.88,0.81
xtreemfs.csv,0.89,0.48,0.49,0.63,0.46,0.52,0.49,0.62,0.53,0.41,0.39,0.86,0.62,0.34,0.44,0.45,0.52
yield.csv,0.72,0.42,0.52,0.46,0.37,0.54,0.45,0.34,0.39,0.36,0.35,0.41,0.47,0.36,0.34,0.36,0.41
