,lsb.csv,mcore3d.csv,yield.csv,maya-work-in-progress.csv,mscore.csv,hydrogen.csv,xemeiah.csv,virtuoso.csv,enzo.csv,xined.csv,lphant.csv,salasaga.csv,keyczar.csv,xtreemfs.csv,autowikibrowser.csv,rocrail.csv,natpad.csv
autowikibrowser.csv,0.54,0.71,0.52,0.69,0.55,0.46,0.53,0.49,0.68,0.5,0.61,0.53,0.7,0.71,0.02,0.36,0.58
enzo.csv,0.44,0.55,0.63,0.56,0.79,0.51,0.72,0.69,0.12,0.87,0.72,0.58,0.44,1.04,0.7,0.65,0.63
hydrogen.csv,0.51,0.89,0.82,0.97,0.73,0.0,0.75,0.55,0.87,0.8,0.74,0.86,0.86,0.85,0.63,0.47,0.52
keyczar.csv,0.65,0.82,0.79,0.75,0.83,0.95,0.82,0.72,0.4,0.52,0.68,0.45,0.07,0.77,0.63,0.74,0.66
lphant.csv,1.05,0.67,0.59,0.57,0.56,0.47,0.54,0.73,0.43,0.56,0.0,0.47,0.64,0.52,0.43,0.49,0.46
lsb.csv,0.29,0.61,0.59,0.42,0.71,0.4,0.66,0.71,0.36,0.64,0.82,0.6,0.47,0.84,0.61,0.57,0.6
maya-work-in-progress.csv,0.98,0.69,0.78,0.06,0.65,0.6,0.7,0.8,0.89,0.7,0.63,0.45,0.49,0.93,0.71,0.72,0.66
mcore3d.csv,1.0,0.0,0.43,0.5,0.8,0.83,0.61,0.93,0.92,0.74,0.64,0.58,0.76,0.55,0.56,0.58,0.86
mscore.csv,0.78,0.6,0.59,0.38,0.03,0.39,0.58,0.61,0.6,0.65,0.44,0.62,0.68,0.67,0.63,0.48,0.53
natpad.csv,0.91,0.62,0.62,0.53,0.57,0.57,0.54,0.75,0.94,0.59,0.73,0.56,0.72,0.61,0.62,0.59,0.05
rocrail.csv,0.98,0.85,0.83,0.88,0.73,0.46,0.81,0.65,0.8,0.61,0.77,0.65,0.82,0.87,0.71,0.0,0.73
salasaga.csv,0.67,0.85,1.02,0.98,0.96,0.95,0.91,0.61,0.86,0.65,0.93,0.14,0.94,0.89,0.93,0.91,0.82
virtuoso.csv,0.8,0.93,0.9,0.98,0.85,0.7,0.92,0.07,1.0,0.48,1.0,0.78,0.84,0.93,0.89,0.86,1.0
xemeiah.csv,0.53,0.6,0.51,0.81,0.65,0.46,0.01,0.59,0.59,0.69,0.59,0.61,0.82,0.71,0.48,0.36,0.46
xined.csv,1.05,0.87,0.82,0.73,0.73,0.69,0.71,0.86,0.86,0.0,0.65,0.89,0.96,0.68,0.65,0.71,0.76
xtreemfs.csv,0.84,0.58,0.53,0.49,0.54,0.59,0.58,0.54,0.66,0.72,0.72,0.9,0.66,0.02,0.52,0.44,0.63
yield.csv,0.78,0.59,0.03,0.41,0.48,0.67,0.56,0.66,0.44,0.68,0.48,0.4,0.72,0.74,0.6,0.62,0.71
