,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,phet.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,qdvdauthor.csv,kmess.csv,moast.csv,nativeclient.csv,genoviz.csv
brlcad.csv,0.33,0.6,0.62,0.92,0.75,0.74,0.66,0.83,0.64,0.82,0.68,0.83,0.88,0.94,0.91,0.92,0.82,0.9,0.62
delphilhlplib.csv,0.32,0.64,0.39,0.69,0.48,0.46,0.48,0.57,0.41,0.57,0.75,0.68,0.85,0.62,0.46,0.5,0.4,0.86,0.36
exordium.csv,0.32,0.79,0.55,0.63,0.61,0.43,0.53,0.43,0.33,0.59,0.83,0.71,0.69,0.62,0.44,0.63,0.57,0.95,0.41
fltk.csv,0.34,0.88,0.77,0.54,0.54,0.51,0.59,0.52,0.42,0.62,0.52,0.77,0.94,0.6,0.36,0.51,0.4,0.8,0.77
genoviz.csv,0.77,0.98,0.56,0.91,0.75,0.63,0.98,0.67,0.83,0.95,0.5,0.75,0.0,0.83,0.88,0.91,0.79,0.95,0.88
gzigzag.csv,0.34,0.97,0.52,0.59,0.69,0.54,0.86,0.55,0.35,0.53,0.55,0.75,0.76,0.63,0.5,0.67,0.55,0.95,0.31
irrlicht.csv,0.33,0.0,0.38,0.42,0.41,0.39,0.36,0.34,0.32,0.48,0.43,0.38,0.49,0.43,0.37,0.41,0.38,0.49,0.32
kmess.csv,0.69,0.93,0.86,0.49,0.55,0.85,0.97,0.48,0.34,0.49,0.0,0.46,0.83,0.71,0.37,0.47,0.59,0.0,0.58
moast.csv,0.92,0.45,0.65,0.84,0.88,0.36,0.66,0.65,0.32,0.88,0.43,0.9,0.97,0.76,0.91,0.41,0.44,0.49,0.34
mptvseries.csv,0.33,0.42,0.0,0.6,0.54,0.8,0.97,0.5,0.42,0.56,0.42,0.75,0.87,0.72,0.46,0.48,0.8,0.82,0.35
nativeclient.csv,0.52,0.44,0.38,0.52,0.43,0.43,0.47,0.45,0.29,0.48,0.38,0.33,0.55,0.51,0.35,0.38,0.4,0.57,0.33
openfrag.csv,0.32,0.44,0.38,0.46,0.49,0.45,0.44,0.44,0.3,0.48,0.56,0.48,0.64,0.51,0.43,0.4,0.42,0.6,0.36
phet.csv,0.86,0.66,0.86,0.98,0.76,0.78,0.84,0.59,0.93,0.71,0.9,0.47,0.51,0.67,0.77,0.76,0.96,0.68,0.93
qdvdauthor.csv,0.58,0.56,0.52,0.5,0.48,0.64,0.52,0.5,0.44,0.6,0.43,0.76,0.99,0.55,0.46,0.48,0.47,0.54,0.88
qse.csv,0.48,0.86,0.88,0.48,0.52,0.54,0.56,0.69,0.39,0.65,0.47,0.46,0.79,0.55,0.5,0.4,0.53,0.8,0.52
sauerbraten.csv,0.35,0.42,0.42,0.41,0.44,0.43,0.37,0.35,0.32,0.42,0.43,0.38,0.45,0.42,0.37,0.42,0.4,0.49,0.34
toped.csv,0.36,0.67,0.52,0.51,0.48,0.44,0.51,0.44,0.37,0.61,0.46,0.72,0.9,0.65,0.47,0.54,0.41,0.69,0.36
truevision.csv,0.35,0.0,0.6,0.56,0.48,0.79,0.59,0.64,0.38,0.56,0.0,0.47,0.75,0.61,0.42,0.47,0.39,0.9,0.73
zoolib.csv,0.33,0.99,0.52,0.74,0.54,0.47,0.77,0.73,0.39,0.65,0.88,0.63,0.98,0.83,0.44,0.46,0.39,0.95,0.61
