,knowledge.csv,pentahoanalysistool.csv,betoffice.csv,ifmo-game-1.csv,voms.csv,sumatrapdf.csv,projecteqemu.csv
betoffice.csv,0.06,0.44,0.97,0.18,0.0,0.11,0.09
ifmo-game-1.csv,0.0,0.0,0.04,1.0,0.2,0.1,0.0
knowledge.csv,1.0,0.49,0.57,0.16,0.21,0.52,0.62
pentahoanalysistool.csv,0.62,1.0,0.19,0.0,0.2,0.49,0.35
projecteqemu.csv,0.67,0.27,0.04,0.18,0.0,0.12,0.97
sumatrapdf.csv,0.85,0.45,0.23,0.18,0.4,0.98,0.61
voms.csv,0.42,0.19,0.07,0.18,1.0,0.43,0.36
