,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.44,0.6,0.41,0.47,0.63,0.46,0.74,0.22,0.33,0.26,0.25,0.0
emulemorph.csv,0.25,0.29,0.48,0.0,0.56,0.0,0.0,0.0,0.8,0.0,0.04,0.0
jaxen.csv,0.46,0.33,0.67,0.63,0.5,0.46,0.0,0.98,0.44,0.53,0.55,0.0
jvcl.csv,0.06,0.55,0.64,0.31,0.49,0.07,0.0,0.43,0.38,0.18,0.3,0.0
m-m-m.csv,0.46,0.65,0.37,0.53,0.23,0.78,0.0,0.05,0.57,0.27,0.13,0.83
motu.csv,0.55,0.76,0.51,0.41,0.24,0.47,0.0,0.0,0.62,0.7,0.54,0.51
nh3d.csv,0.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sarasvati.csv,0.32,0.52,0.31,0.72,0.29,0.19,0.94,0.33,0.0,0.48,0.39,0.96
wgs-assembler.csv,0.57,0.41,0.48,0.68,0.49,0.17,0.38,0.63,0.49,0.66,0.38,0.0
zabbix.csv,0.56,0.0,0.21,0.46,0.45,0.39,0.0,0.0,0.2,0.53,0.43,0.0
