,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.39,0.66,0.41,0.43,0.33,0.4,0.64,0.59,0.68,0.37,0.93,0.18
emulemorph.csv,0.11,0.03,0.21,0.09,0.36,0.0,0.08,0.05,0.29,0.09,0.0,0.49
jaxen.csv,0.84,0.91,0.61,0.6,0.81,0.8,0.89,0.1,0.85,0.8,0.15,0.77
jvcl.csv,0.01,0.01,0.24,0.08,0.32,0.0,0.1,0.37,0.17,0.04,0.02,0.24
m-m-m.csv,0.44,0.58,0.86,0.8,0.94,0.4,1.0,0.99,0.65,0.93,0.97,0.51
motu.csv,0.57,0.61,0.83,0.71,0.94,0.2,0.07,1.0,0.53,0.24,0.72,0.83
nh3d.csv,0.46,0.01,0.0,1.0,1.0,1.0,1.0,1.0,0.04,1.0,1.0,1.0
sarasvati.csv,0.14,0.37,0.7,0.3,0.35,0.2,0.25,0.9,0.2,0.41,0.72,0.17
wgs-assembler.csv,0.3,0.88,0.8,0.66,0.64,0.0,0.89,0.2,0.54,0.72,0.6,0.26
zabbix.csv,0.74,0.08,0.95,0.47,0.39,0.3,0.18,0.3,0.36,0.5,0.11,0.37
