,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.7,0.7,0.75,0.7,0.5,0.7,0.64,0.99,0.95,0.85,0.98,1.02
emulemorph.csv,0.8,0.75,0.6,1.0,0.58,1.0,1.0,1.0,0.33,1.0,0.97,1.11
jaxen.csv,0.86,0.91,0.64,0.66,0.83,0.86,1.34,0.1,0.86,0.81,0.52,1.26
jvcl.csv,0.95,0.5,0.44,0.73,0.63,0.94,1.0,0.7,0.69,0.85,0.74,1.03
m-m-m.csv,0.72,0.63,0.94,0.8,0.96,0.43,1.0,0.99,0.73,0.93,0.99,0.51
motu.csv,0.7,0.61,0.83,0.9,0.95,0.6,1.0,1.0,0.63,0.39,0.78,0.83
nh3d.csv,0.63,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sarasvati.csv,0.73,0.62,0.98,0.41,0.83,0.87,0.25,0.92,1.02,0.68,0.92,0.17
wgs-assembler.csv,0.55,0.88,0.84,0.67,0.79,0.86,0.89,0.45,0.73,0.72,0.86,1.03
zabbix.csv,0.77,1.0,0.95,0.72,0.7,0.71,1.02,1.05,0.91,0.68,0.63,1.07
