,recall
qgis.csv,0.31
migen.csv,0.44
jsecurity.csv,0.31
jnode.csv,0.69
jhotdraw.csv,0.44
sidekar.csv,0.09
emeraldemu.csv,0.56
emisview.csv,0.22
autoopencas.csv,0.36
mcmc-jags.csv,0.13
cataclysmos.csv,1.0
fontforge.csv,0.12
badtrinity-zero.csv,0.29
cleartk.csv,0.17
delphilhlplib.csv,0.19
mcore3d.csv,0.27
applet2app.csv,0.51
upp-mirror.csv,0.09
magicwars.csv,0.22
xbplayer.csv,0.43
zildo.csv,0.34
jython.csv,0.45
ildjit.csv,0.31
gbif-providertoolkit.csv,0.14
jfreereport.csv,0.76
opennms.csv,0.18
yield.csv,0.1
trackit.csv,0.05
scen-connect.csv,0.0
freelords.csv,0.52
piccolo2d.csv,0.92
bochs.csv,0.42
intact.csv,0.13
htmlunit.csv,0.76
open-beos.csv,0.51
libopenmetaverse.csv,0.33
popeye-chess.csv,0.57
jbpm.csv,0.27
cities3d.csv,0.57
springside.csv,0.18
k3d.csv,0.27
kvs.csv,0.25
firebreath.csv,0.47
fltk.csv,0.37
bullet.csv,0.39
mobicents.csv,0.37
maya-work-in-progress.csv,0.28
betoffice.csv,0.16
scite-ru.csv,0.19
ifmo-game-1.csv,0.57
qcad2.csv,0.42
xmemcached.csv,0.3
ldview.csv,0.24
rohxel.csv,0.0
jpaul.csv,0.59
pfaedit.csv,0.39
gbif-indexingtoolkit.csv,0.27
levent.csv,0.57
neodatis-odb.csv,0.3
pidgin.csv,0.82
swtfox.csv,0.57
aime.csv,0.5
mvdsv.csv,0.67
japano.csv,0.5
jitterbit.csv,0.31
encog-cs.csv,0.82
red5.csv,0.16
co-ode-owl-plugins.csv,0.17
exordium.csv,0.58
cornerstone.csv,0.57
