,f1
qgis.csv,0.43
migen.csv,0.5
jsecurity.csv,0.31
jnode.csv,0.1
jhotdraw.csv,0.28
sidekar.csv,0.17
emeraldemu.csv,0.61
emisview.csv,0.28
autoopencas.csv,0.26
mcmc-jags.csv,0.21
cataclysmos.csv,0.15
fontforge.csv,0.19
badtrinity-zero.csv,0.42
cleartk.csv,0.28
delphilhlplib.csv,0.31
mcore3d.csv,0.41
applet2app.csv,0.49
upp-mirror.csv,0.16
magicwars.csv,0.32
xbplayer.csv,0.46
zildo.csv,0.47
jython.csv,0.59
ildjit.csv,0.23
gbif-providertoolkit.csv,0.19
jfreereport.csv,0.27
opennms.csv,0.23
yield.csv,0.17
trackit.csv,0.09
scen-connect.csv,0.0
freelords.csv,0.64
piccolo2d.csv,0.33
bochs.csv,0.49
intact.csv,0.2
htmlunit.csv,0.54
open-beos.csv,0.54
libopenmetaverse.csv,0.42
popeye-chess.csv,0.63
jbpm.csv,0.17
cities3d.csv,0.25
springside.csv,0.28
k3d.csv,0.21
kvs.csv,0.22
firebreath.csv,0.52
fltk.csv,0.48
bullet.csv,0.53
mobicents.csv,0.49
maya-work-in-progress.csv,0.41
betoffice.csv,0.24
scite-ru.csv,0.3
ifmo-game-1.csv,0.22
qcad2.csv,0.51
xmemcached.csv,0.42
ldview.csv,0.36
rohxel.csv,0.0
jpaul.csv,0.62
pfaedit.csv,0.53
gbif-indexingtoolkit.csv,0.21
levent.csv,0.67
neodatis-odb.csv,0.32
pidgin.csv,0.81
swtfox.csv,0.46
aime.csv,0.34
mvdsv.csv,0.2
japano.csv,0.65
jitterbit.csv,0.44
encog-cs.csv,0.54
red5.csv,0.28
co-ode-owl-plugins.csv,0.12
exordium.csv,0.51
cornerstone.csv,0.55
