,precision
qgis.csv,0.72
migen.csv,0.58
jsecurity.csv,0.31
jnode.csv,0.05
jhotdraw.csv,0.21
sidekar.csv,1.0
emeraldemu.csv,0.66
emisview.csv,0.38
autoopencas.csv,0.2
mcmc-jags.csv,0.5
cataclysmos.csv,0.08
fontforge.csv,0.38
badtrinity-zero.csv,0.77
cleartk.csv,0.94
delphilhlplib.csv,0.91
mcore3d.csv,0.82
applet2app.csv,0.47
upp-mirror.csv,0.67
magicwars.csv,0.54
xbplayer.csv,0.5
zildo.csv,0.75
jython.csv,0.83
ildjit.csv,0.18
gbif-providertoolkit.csv,0.29
jfreereport.csv,0.16
opennms.csv,0.31
yield.csv,0.86
trackit.csv,0.5
scen-connect.csv,0.0
freelords.csv,0.82
piccolo2d.csv,0.2
bochs.csv,0.6
intact.csv,0.4
htmlunit.csv,0.42
open-beos.csv,0.57
libopenmetaverse.csv,0.57
popeye-chess.csv,0.71
jbpm.csv,0.12
cities3d.csv,0.16
springside.csv,0.56
k3d.csv,0.17
kvs.csv,0.2
firebreath.csv,0.6
fltk.csv,0.68
bullet.csv,0.84
mobicents.csv,0.72
maya-work-in-progress.csv,0.75
betoffice.csv,0.54
scite-ru.csv,0.67
ifmo-game-1.csv,0.13
qcad2.csv,0.65
xmemcached.csv,0.7
ldview.csv,0.71
rohxel.csv,0.0
jpaul.csv,0.67
pfaedit.csv,0.84
gbif-indexingtoolkit.csv,0.18
levent.csv,0.8
neodatis-odb.csv,0.34
pidgin.csv,0.81
swtfox.csv,0.38
aime.csv,0.26
mvdsv.csv,0.11
japano.csv,0.9
jitterbit.csv,0.73
encog-cs.csv,0.4
red5.csv,1.0
co-ode-owl-plugins.csv,0.09
exordium.csv,0.46
cornerstone.csv,0.53
