,pci_20
qgis.csv,0.75
migen.csv,0.46
jsecurity.csv,0.77
jnode.csv,0.43
jhotdraw.csv,0.46
sidekar.csv,0.83
emeraldemu.csv,0.57
emisview.csv,0.85
autoopencas.csv,0.39
mcmc-jags.csv,0.75
cataclysmos.csv,0.67
fontforge.csv,0.88
badtrinity-zero.csv,0.63
cleartk.csv,0.89
delphilhlplib.csv,0.73
mcore3d.csv,0.72
applet2app.csv,0.48
upp-mirror.csv,0.89
magicwars.csv,0.96
xbplayer.csv,0.53
zildo.csv,0.6
jython.csv,0.92
ildjit.csv,0.47
gbif-providertoolkit.csv,0.86
jfreereport.csv,0.44
opennms.csv,0.88
yield.csv,0.86
trackit.csv,0.75
scen-connect.csv,0.5
freelords.csv,0.46
piccolo2d.csv,0.38
bochs.csv,0.6
intact.csv,0.9
htmlunit.csv,0.35
open-beos.csv,0.49
libopenmetaverse.csv,0.48
popeye-chess.csv,0.39
jbpm.csv,0.74
cities3d.csv,0.71
springside.csv,0.88
k3d.csv,0.64
kvs.csv,0.64
firebreath.csv,0.53
fltk.csv,0.54
bullet.csv,0.42
mobicents.csv,0.61
maya-work-in-progress.csv,0.67
betoffice.csv,0.85
scite-ru.csv,0.83
ifmo-game-1.csv,0.63
qcad2.csv,0.65
xmemcached.csv,0.9
ldview.csv,0.71
rohxel.csv,0.0
jpaul.csv,0.53
pfaedit.csv,0.6
gbif-indexingtoolkit.csv,0.53
levent.csv,0.54
neodatis-odb.csv,0.47
pidgin.csv,0.36
swtfox.csv,0.41
aime.csv,0.44
mvdsv.csv,0.37
japano.csv,0.41
jitterbit.csv,0.99
encog-cs.csv,0.36
red5.csv,0.86
co-ode-owl-plugins.csv,0.5
exordium.csv,0.5
cornerstone.csv,0.4
