,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,miranda-icq.csv,roolo.csv,freewrl.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,soar.csv,geotools.csv,web-cat.csv,fulguro.csv
cleartk.csv,0.03,0.8,0.43,0.89,0.3,0.42,0.53,0.76,0.46,0.43,0.55,0.27,0.9,0.08,0.68,0.23,0.49,0.45,0.34,0.21
encog-cs.csv,0.02,0.71,0.38,0.9,0.39,0.45,0.88,0.94,0.59,0.4,0.51,0.68,0.71,0.11,0.76,0.41,0.68,0.42,0.55,0.22
extprosys.csv,0.03,0.82,0.54,0.89,0.4,0.38,0.52,0.8,0.49,0.38,0.41,0.69,0.59,0.04,0.74,0.45,0.67,0.47,0.34,0.25
freewrl.csv,0.02,0.8,0.45,0.86,0.42,0.42,0.86,0.71,0.52,0.41,0.37,0.74,0.86,0.15,0.77,0.54,0.39,0.49,0.47,0.23
fulguro.csv,0.02,0.84,0.32,0.73,0.35,0.43,0.47,0.8,0.32,0.07,0.48,0.65,0.43,0.1,0.43,0.21,0.63,0.11,0.5,0.36
geotools.csv,0.02,0.84,0.46,0.7,0.41,0.46,0.84,0.81,0.56,0.41,0.25,0.6,0.88,0.0,0.79,0.46,0.68,0.48,0.57,0.2
ibatisdb.csv,0.0,0.48,0.23,0.47,0.34,0.41,0.4,0.36,0.41,0.36,0.06,0.13,0.35,0.13,0.22,0.65,0.06,0.21,0.46,0.21
intact.csv,0.04,0.74,0.36,0.82,0.39,0.54,0.54,0.52,0.57,0.34,0.26,0.24,0.74,0.16,0.74,0.39,0.18,0.44,0.31,0.29
japano.csv,0.0,0.92,0.46,0.89,0.44,0.46,0.85,0.86,0.51,0.3,0.51,0.68,0.8,0.09,0.74,0.37,0.55,0.4,0.48,0.26
miranda-icq.csv,0.0,0.82,0.43,0.65,0.46,0.44,0.14,0.55,0.52,0.55,0.33,0.29,0.85,0.09,0.66,0.25,0.3,0.45,0.23,0.26
ofbiz.csv,0.0,0.85,0.43,0.67,0.25,0.39,0.58,0.62,0.49,0.4,0.41,0.19,0.74,0.2,0.8,0.27,0.0,0.47,0.52,0.2
opennms.csv,0.04,0.52,0.1,0.19,0.58,0.22,0.67,0.05,0.26,0.11,0.46,0.41,0.12,0.06,0.56,0.05,0.0,0.36,0.0,0.09
papertoolkit.csv,0.0,0.36,0.22,0.4,0.17,0.29,0.18,0.31,0.41,0.06,0.26,0.18,0.32,0.55,0.4,0.14,0.42,0.19,0.14,0.14
rohxel.csv,0.06,0.56,0.34,0.31,0.18,0.33,0.74,0.45,0.42,0.03,0.42,0.14,0.33,0.0,0.08,0.15,0.18,0.25,0.1,0.16
roolo.csv,0.0,0.77,0.44,0.82,0.43,0.41,0.46,0.58,0.43,0.38,0.68,0.65,0.88,0.04,0.72,0.39,0.68,0.43,0.53,0.25
sevenupdate.csv,0.02,0.82,0.44,0.94,0.37,0.45,0.88,0.97,0.52,0.41,0.5,0.69,0.96,0.12,0.78,0.41,0.71,0.42,0.55,0.23
soar.csv,0.03,0.63,0.44,0.73,0.36,0.43,0.82,0.91,0.42,0.41,0.47,0.29,0.99,0.1,0.58,0.43,0.65,0.42,0.48,0.2
web-cat.csv,0.0,0.44,0.07,0.58,0.38,0.44,0.36,0.37,0.43,0.11,0.32,0.35,0.43,0.19,0.45,0.6,0.57,0.24,0.6,0.24
