,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,2.0,16.0,2.0,8.0,7.0,9.0,2.0,2.0,1.0,26.0,3.0,12.0,0.0
bscwweasel.csv,1.0,15.0,2.0,4.0,6.0,3.0,2.0,5.0,0.0,1.0,1.0,1.0,0.0
capcode.csv,1.0,11.0,2.0,34.0,6.0,2.0,2.0,8.0,1.0,2.0,4.0,1.0,0.0
emite.csv,0.0,18.0,3.0,10.0,9.0,10.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0
geogebra.csv,0.0,6.0,3.0,1.0,1.0,6.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0
hibernate.csv,1.0,1.0,2.0,48.0,3.0,8.0,0.0,0.0,0.0,11.0,3.0,1.0,0.0
lamp.csv,1.0,11.0,24.0,12.0,13.0,18.0,1.0,15.0,0.0,25.0,1.0,9.0,7.0
nodal.csv,0.0,12.0,0.0,12.0,10.0,8.0,1.0,5.0,2.0,8.0,0.0,0.0,0.0
retromenu.csv,0.0,11.0,1.0,5.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0
smbopensoft.csv,0.0,10.0,2.0,46.0,13.0,0.0,2.0,8.0,3.0,4.0,1.0,5.0,5.0
stuproa-cims.csv,199.0,2.0,9.0,2.0,16.0,3.0,2.0,0.0,1.0,0.0,1.0,4.0,5.0
thout.csv,0.0,11.0,1.0,11.0,8.0,0.0,2.0,2.0,0.0,55.0,2.0,20.0,7.0
uface.csv,1.0,13.0,10.0,11.0,2.0,11.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0
