,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.6,0.12,0.42,0.17,0.42,0.17,0.82,0.29,0.29,0.33,0.48,0.37,0.76
bscwweasel.csv,0.75,0.12,0.37,0.3,0.46,0.25,0.67,0.27,0.39,0.42,0.38,0.57,0.95
capcode.csv,0.67,0.12,0.25,0.15,0.42,0.28,0.74,0.48,0.47,0.37,0.36,0.34,0.85
emite.csv,0.57,0.09,0.37,0.2,0.44,0.13,0.81,0.29,0.23,0.38,0.61,0.4,0.93
geogebra.csv,1.0,0.14,0.47,0.24,0.43,0.19,0.71,0.29,0.33,0.38,0.6,0.46,0.93
hibernate.csv,0.47,0.33,0.22,0.12,0.38,0.21,0.71,0.41,0.27,0.44,0.47,0.41,0.7
lamp.csv,0.49,0.24,0.27,0.15,0.32,0.13,0.74,0.32,0.28,0.34,0.42,0.22,0.69
nodal.csv,1.0,0.08,0.44,0.14,0.25,0.19,0.73,0.39,0.54,0.38,0.44,0.41,0.92
retromenu.csv,0.75,0.17,0.54,0.37,0.6,0.15,0.75,0.26,0.36,0.52,0.58,0.48,0.95
smbopensoft.csv,0.78,0.09,0.22,0.09,0.19,0.18,0.77,0.19,0.41,0.25,0.43,0.15,0.82
stuproa-cims.csv,0.0,0.25,0.39,0.21,0.39,0.25,0.5,0.53,0.28,0.49,0.6,0.36,0.76
thout.csv,0.55,0.1,0.42,0.23,0.37,0.15,0.74,0.27,0.27,0.25,0.43,0.23,0.71
uface.csv,0.49,0.1,0.24,0.2,0.39,0.17,0.74,0.28,0.32,0.35,0.5,0.28,0.96
