,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,open-ms.csv,tango-cs.csv,geochat.csv
decidr.csv,0.5,0.18,0.57,0.74,0.42,0.51,0.76,0.7,0.67,0.42,0.68,0.22,0.73,0.34,0.44,0.33,0.46,0.37
doomlegacy.csv,0.66,0.15,0.55,0.57,0.48,0.6,0.71,0.59,0.5,0.41,0.65,0.24,0.82,0.35,0.44,0.35,0.51,0.23
elmo.csv,0.54,0.19,0.57,0.58,0.43,0.4,0.72,0.64,0.6,0.39,0.41,0.22,0.7,0.38,0.59,0.33,0.46,0.36
geochat.csv,0.16,0.09,0.33,0.51,0.16,0.15,0.1,0.22,0.31,0.11,0.03,0.0,0.33,0.17,0.21,0.19,0.04,0.51
gpac.csv,0.54,0.11,0.4,0.58,0.22,0.35,0.63,0.68,0.65,0.4,0.34,0.23,0.48,0.26,0.43,0.29,0.42,0.36
illumination.csv,0.0,0.11,0.11,0.57,0.0,0.5,0.06,0.0,0.0,0.33,0.61,0.12,0.0,0.68,0.44,0.0,0.0,0.3
ktc.csv,0.71,0.16,0.63,0.25,0.57,0.44,0.55,0.56,0.5,0.36,0.28,0.31,0.51,0.27,0.59,0.38,0.48,0.37
neoengine.csv,0.55,0.14,0.64,0.58,0.42,0.52,0.72,0.72,0.69,0.47,0.27,0.24,0.77,0.33,0.67,0.33,0.45,0.4
nicepress.csv,0.57,0.17,0.55,0.57,0.55,0.73,0.71,0.68,0.65,0.31,0.61,0.26,0.48,0.3,0.41,0.35,0.53,0.36
omseek.csv,0.52,0.0,0.24,0.08,0.41,0.09,0.25,0.07,0.22,0.32,0.35,0.42,0.07,0.26,0.41,0.3,0.4,0.21
open-ms.csv,0.63,0.11,0.51,0.29,0.53,0.38,0.49,0.12,0.15,0.24,0.16,0.26,0.73,0.33,0.45,0.36,0.43,0.1
pi-qmc.csv,0.35,0.13,0.56,0.68,0.34,0.52,0.59,0.67,0.65,0.32,0.29,0.2,0.74,0.33,0.73,0.37,0.42,0.38
rosegarden.csv,0.69,0.17,0.56,0.55,0.61,0.5,0.64,0.64,0.52,0.36,0.49,0.27,0.82,0.13,0.54,0.34,0.52,0.16
smarttag.csv,0.67,0.15,0.58,0.68,0.47,0.55,0.57,0.52,0.24,0.43,0.67,0.23,0.81,0.32,0.58,0.32,0.46,0.36
sylpheed-claws.csv,0.59,0.13,0.56,0.74,0.43,0.51,0.72,0.66,0.7,0.43,0.63,0.2,0.84,0.35,0.42,0.34,0.56,0.38
tango-cs.csv,0.6,0.35,0.58,0.44,0.45,0.59,0.69,0.49,0.52,0.19,0.58,0.28,0.54,0.33,0.55,0.37,0.54,0.42
xemeiah.csv,0.6,0.12,0.56,0.52,0.5,0.59,0.73,0.65,0.66,0.39,0.75,0.32,0.57,0.0,0.54,0.35,0.57,0.26
zscreen.csv,0.6,0.15,0.57,0.79,0.47,0.47,0.66,0.27,0.34,0.36,0.64,0.28,0.69,0.2,0.32,0.34,0.5,0.3
