,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv
alleg.csv,0.91,0.51,0.76,0.48,0.42,0.57,0.75,0.46,0.36,0.44,0.41,0.35,0.51,0.5,0.42,0.51,0.52
bwapi.csv,0.46,0.45,0.43,0.49,0.53,0.42,0.36,0.39,0.95,0.61,0.36,0.48,0.44,0.46,0.71,0.63,0.46
co-ode-owl-plugins.csv,0.52,0.67,0.61,0.58,0.41,0.57,0.86,0.95,0.38,0.44,0.83,0.69,0.78,0.54,0.45,0.5,0.66
firebreath.csv,0.47,0.45,0.44,0.57,0.41,0.53,0.88,0.51,0.39,0.47,0.55,0.39,0.49,0.65,0.75,0.54,0.82
frogatto.csv,0.33,0.4,0.39,0.45,0.38,0.38,0.33,0.36,0.42,0.5,0.36,0.35,0.31,0.45,0.41,0.46,0.44
gretl.csv,0.39,0.46,0.46,0.58,0.39,0.48,0.57,0.48,0.41,0.42,0.63,0.42,0.49,0.48,0.42,0.48,0.48
jasperreports.csv,0.64,0.48,0.43,0.54,0.56,0.45,0.35,0.39,0.55,0.9,0.36,0.47,0.5,0.69,0.72,0.89,0.44
konversation.csv,0.56,0.82,0.5,0.82,0.52,0.45,0.7,0.77,0.79,0.46,0.88,0.57,0.76,0.6,0.75,0.88,0.64
linuxsh.csv,0.75,0.72,0.81,0.97,0.41,0.93,0.67,0.95,0.46,0.54,0.0,0.96,0.96,0.99,0.5,0.58,0.94
moviesandbox.csv,0.49,0.93,0.51,0.81,0.38,0.58,0.88,0.92,0.61,0.5,0.67,0.95,0.96,0.67,0.5,0.59,0.6
ontomorphtab.csv,0.39,0.44,0.42,0.48,0.41,0.4,0.35,0.38,0.34,0.44,0.35,0.43,0.45,0.4,0.42,0.57,0.39
opengs.csv,0.89,0.55,0.53,0.6,0.39,0.49,0.83,0.67,0.59,0.6,0.0,0.51,0.56,0.72,0.48,0.69,0.54
scite-ru.csv,0.47,0.55,0.59,0.59,0.38,0.51,0.64,0.51,0.46,0.46,0.38,0.51,0.55,0.46,0.45,0.47,0.46
tokratan.csv,0.44,0.48,0.5,0.7,0.35,0.6,0.89,0.72,0.94,0.69,0.42,0.37,0.37,0.54,0.8,0.94,0.6
vrjuggler.csv,0.76,0.0,0.93,0.83,0.8,0.94,0.92,0.95,0.87,0.89,0.53,0.93,0.88,0.74,0.62,0.65,0.75
wxcode.csv,0.55,0.67,0.57,0.78,0.55,0.67,0.9,0.67,0.0,0.91,0.73,0.5,0.46,0.54,0.67,0.93,0.67
xuggle.csv,0.58,0.4,0.55,0.63,0.36,0.45,0.37,0.5,0.48,0.67,0.56,0.44,0.36,0.46,0.43,0.5,0.5
