,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv
alleg.csv,2.0,2.0,5.0,58.0,2.0,13.0,3.0,2.0,1.0,40.0,7.0,0.0,1.0,114.0,2.0,0.0,0.0
bwapi.csv,1.0,12.0,21.0,115.0,1.0,3.0,9.0,13.0,2.0,22.0,14.0,2.0,2.0,182.0,2.0,1.0,3.0
co-ode-owl-plugins.csv,8.0,3.0,21.0,65.0,0.0,3.0,0.0,2.0,1.0,19.0,2.0,0.0,0.0,315.0,0.0,0.0,23.0
firebreath.csv,0.0,1.0,6.0,31.0,1.0,0.0,0.0,8.0,2.0,21.0,11.0,0.0,0.0,26.0,0.0,0.0,13.0
frogatto.csv,0.0,14.0,8.0,19.0,0.0,1.0,0.0,6.0,0.0,7.0,11.0,0.0,0.0,179.0,0.0,4.0,0.0
gretl.csv,1.0,7.0,16.0,22.0,2.0,7.0,10.0,5.0,5.0,22.0,9.0,1.0,1.0,68.0,2.0,1.0,0.0
jasperreports.csv,0.0,25.0,20.0,109.0,2.0,3.0,9.0,13.0,2.0,3.0,11.0,2.0,1.0,20.0,2.0,0.0,67.0
konversation.csv,0.0,3.0,3.0,11.0,0.0,5.0,7.0,2.0,2.0,38.0,0.0,0.0,0.0,16.0,0.0,0.0,24.0
linuxsh.csv,3.0,0.0,8.0,11.0,0.0,2.0,72.0,3.0,0.0,22.0,74.0,0.0,0.0,502.0,4.0,0.0,15.0
moviesandbox.csv,1.0,3.0,2.0,33.0,0.0,3.0,6.0,7.0,1.0,53.0,0.0,0.0,0.0,84.0,0.0,0.0,1.0
ontomorphtab.csv,0.0,4.0,14.0,65.0,1.0,1.0,5.0,26.0,0.0,17.0,10.0,2.0,1.0,99.0,2.0,0.0,59.0
opengs.csv,0.0,4.0,7.0,21.0,0.0,9.0,2.0,0.0,2.0,29.0,74.0,0.0,0.0,7.0,2.0,1.0,18.0
scite-ru.csv,1.0,0.0,34.0,73.0,0.0,1.0,0.0,8.0,4.0,20.0,8.0,1.0,1.0,182.0,0.0,1.0,3.0
tokratan.csv,2.0,11.0,6.0,6.0,3.0,4.0,5.0,0.0,0.0,6.0,4.0,0.0,1.0,183.0,0.0,0.0,0.0
vrjuggler.csv,4.0,65.0,5.0,5.0,1.0,3.0,4.0,3.0,0.0,7.0,1.0,0.0,2.0,243.0,0.0,1.0,3.0
wxcode.csv,0.0,65.0,11.0,7.0,3.0,0.0,0.0,2.0,130.0,1.0,2.0,0.0,1.0,27.0,0.0,0.0,0.0
xuggle.csv,2.0,6.0,21.0,11.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0,2.0,1.0,171.0,2.0,0.0,0.0
