,f1,g,recall,precision,pf,wins
alleg.csv,0.34,0.47,0.71,0.29,0.49,7
bwapi.csv,0.35,0.2,0.91,0.29,0.95,2
co-ode-owl-plugins.csv,0.36,0.55,0.64,0.49,0.42,14
firebreath.csv,0.41,0.6,0.65,0.44,0.51,13
frogatto.csv,0.36,0.65,0.69,0.35,0.51,12
gretl.csv,0.36,0.55,0.75,0.25,0.6,6
jasperreports.csv,0.34,0.34,0.49,0.28,0.66,1
konversation.csv,0.31,0.41,0.38,0.32,0.22,3
linuxsh.csv,0.29,0.37,0.34,0.42,0.2,4
moviesandbox.csv,0.3,0.55,0.57,0.33,0.36,8
ontomorphtab.csv,0.47,0.43,0.95,0.31,0.86,5
opengs.csv,0.36,0.49,0.47,0.44,0.28,10
scite-ru.csv,0.47,0.58,0.86,0.41,0.58,16
tokratan.csv,0.38,0.51,0.47,0.29,0.25,9
vrjuggler.csv,0.18,0.15,0.12,0.38,0.14,0
wxcode.csv,0.37,0.38,0.33,0.55,0.14,11
xuggle.csv,0.46,0.61,0.69,0.37,0.41,15
