,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv
alleg.csv,0.24,0.61,0.47,0.58,0.46,0.37,0.28,0.73,0.42,0.51,0.41,0.64,0.73,0.78,0.45,0.26,0.66
bwapi.csv,0.2,0.38,0.17,0.09,0.45,0.09,0.0,0.11,0.32,0.6,0.0,0.27,0.17,0.0,0.53,0.79,0.45
co-ode-owl-plugins.csv,0.5,0.63,0.6,0.66,0.72,0.57,0.28,0.75,0.63,0.29,0.07,0.43,0.26,0.55,0.67,0.41,0.33
firebreath.csv,0.51,0.7,0.76,0.71,0.67,0.71,0.34,0.61,0.52,0.65,0.22,0.6,0.54,0.66,0.41,0.34,0.48
frogatto.csv,0.69,0.57,0.63,0.73,0.6,0.65,0.67,0.32,0.65,0.77,0.21,0.66,0.61,0.05,0.69,0.27,0.86
gretl.csv,0.78,0.64,0.71,0.63,0.13,0.54,0.36,0.71,0.55,0.09,0.35,0.71,0.6,0.76,0.13,0.24,0.51
jasperreports.csv,0.49,0.42,0.17,0.4,0.42,0.34,0.0,0.11,0.26,0.24,0.36,0.63,0.61,0.94,0.33,0.17,0.27
konversation.csv,0.48,0.4,0.76,0.48,0.48,0.71,0.41,0.32,0.2,0.52,0.29,0.49,0.31,0.73,0.29,0.13,0.33
linuxsh.csv,0.37,0.75,0.55,0.18,0.64,0.2,0.0,0.7,0.76,0.49,0.0,0.2,0.14,0.0,0.58,0.55,0.17
moviesandbox.csv,0.5,0.4,0.71,0.55,0.71,0.57,0.12,0.58,0.73,0.52,0.07,0.17,0.2,0.58,0.6,0.22,0.56
ontomorphtab.csv,0.68,0.0,0.43,0.6,0.45,0.5,0.42,0.29,0.57,0.62,0.27,0.35,0.0,0.88,0.13,0.43,0.33
opengs.csv,0.27,0.52,0.75,0.7,0.64,0.54,0.12,0.2,0.77,0.49,0.0,0.46,0.47,0.54,0.47,0.35,0.59
scite-ru.csv,0.64,0.63,0.58,0.69,0.61,0.58,0.52,0.6,0.73,0.49,0.52,0.52,0.45,0.05,0.73,0.13,0.64
tokratan.csv,0.45,0.46,0.69,0.62,0.65,0.42,0.12,0.13,0.33,0.51,0.52,0.69,0.56,0.78,0.29,0.15,0.92
vrjuggler.csv,0.35,0.0,0.29,0.02,0.06,0.15,0.28,0.13,0.26,0.09,0.68,0.07,0.09,0.1,0.37,0.29,0.17
wxcode.csv,0.34,0.0,0.62,0.48,0.31,0.38,0.38,0.07,0.0,0.45,0.22,0.41,0.42,0.88,0.1,0.13,0.96
xuggle.csv,0.44,0.61,0.6,0.73,0.63,0.56,0.61,0.25,0.74,0.73,0.22,0.6,0.62,0.17,0.68,0.6,0.91
