,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv
alleg.csv,0.82,0.69,0.6,0.57,0.85,0.73,0.81,0.59,0.87,0.79,0.76,0.61,0.43,0.37,0.86,1.0,0.56
bwapi.csv,0.96,0.91,0.96,0.99,0.82,0.98,1.0,1.14,0.81,0.71,1.0,0.94,0.97,1.0,0.58,0.32,0.86
co-ode-owl-plugins.csv,0.71,0.55,0.49,0.66,0.55,0.58,0.76,0.29,0.73,0.94,0.94,0.64,0.85,0.79,0.56,0.89,0.8
firebreath.csv,0.56,0.59,0.56,0.53,0.63,0.43,0.72,0.72,0.81,0.61,0.96,0.49,0.71,0.44,0.65,0.92,0.6
frogatto.csv,0.42,0.7,0.73,0.54,0.58,0.55,0.63,1.01,0.52,0.38,0.95,0.53,0.7,0.99,0.41,1.02,0.45
gretl.csv,0.49,0.63,0.5,0.52,0.97,0.75,0.78,0.61,0.79,0.98,0.78,0.48,0.65,0.61,0.97,0.94,0.76
jasperreports.csv,0.73,0.87,0.96,0.9,0.85,0.9,1.0,1.17,1.01,0.81,0.9,0.65,0.69,0.14,0.88,0.86,1.06
konversation.csv,0.59,0.68,0.33,0.59,0.58,0.49,0.72,0.76,0.86,0.8,0.78,0.59,0.81,0.37,0.76,0.89,0.79
linuxsh.csv,0.76,0.33,0.51,0.85,0.59,0.86,1.0,0.35,0.51,0.83,1.0,0.83,0.92,1.01,0.54,0.75,0.88
moviesandbox.csv,0.82,0.67,0.47,0.54,0.47,0.63,0.91,0.54,0.44,0.8,0.94,0.86,0.86,0.61,0.5,0.88,0.64
ontomorphtab.csv,0.42,1.0,0.87,0.77,0.86,0.83,0.87,0.98,0.75,0.62,0.93,0.9,1.0,0.35,0.97,0.72,0.98
opengs.csv,0.77,0.74,0.34,0.41,0.59,0.63,0.91,0.83,0.35,0.66,1.0,0.63,0.69,0.54,0.65,0.74,0.53
scite-ru.csv,0.72,0.54,0.59,0.61,0.75,0.67,0.57,0.73,0.57,0.84,0.81,0.59,0.76,0.99,0.56,0.97,0.74
tokratan.csv,0.63,0.72,0.4,0.46,0.56,0.67,0.91,0.92,0.72,0.58,0.72,0.53,0.65,0.52,0.75,0.88,0.3
vrjuggler.csv,0.74,1.0,0.76,0.98,0.96,0.89,0.78,0.91,0.79,0.94,0.47,0.95,0.93,1.06,0.72,0.91,0.86
wxcode.csv,0.72,1.02,0.45,0.59,0.76,0.68,0.67,0.94,1.0,0.6,0.84,0.65,0.7,0.36,0.92,0.89,0.18
xuggle.csv,0.65,0.69,0.51,0.34,0.62,0.63,0.57,0.88,0.49,0.38,0.89,0.53,0.64,0.96,0.47,0.71,0.33
