,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv
alleg.csv,0.19,0.64,0.13,0.36,0.83,0.3,0.29,0.58,0.87,0.69,0.44,0.53,0.36,0.32,0.85,0.92,0.49
bwapi.csv,0.95,0.87,0.96,0.98,0.63,0.98,1.0,0.97,0.36,0.65,1.0,0.93,0.96,1.0,0.3,0.25,0.86
co-ode-owl-plugins.csv,0.52,0.42,0.27,0.63,0.51,0.36,0.04,0.1,0.73,0.92,0.08,0.2,0.36,0.78,0.48,0.86,0.36
firebreath.csv,0.14,0.56,0.56,0.48,0.6,0.32,0.04,0.7,0.81,0.55,0.51,0.27,0.56,0.27,0.09,0.64,0.18
frogatto.csv,0.29,0.6,0.72,0.51,0.43,0.45,0.6,0.85,0.4,0.32,0.95,0.43,0.65,0.99,0.24,0.69,0.45
gretl.csv,0.48,0.56,0.43,0.36,0.97,0.65,0.4,0.6,0.75,0.98,0.37,0.4,0.55,0.61,0.97,0.94,0.63
jasperreports.csv,0.52,0.67,0.96,0.86,0.63,0.9,1.0,0.97,0.66,0.14,0.9,0.6,0.64,0.13,0.55,0.03,0.89
konversation.csv,0.14,0.24,0.21,0.17,0.11,0.43,0.37,0.23,0.19,0.73,0.22,0.17,0.38,0.25,0.09,0.06,0.34
linuxsh.csv,0.38,0.18,0.11,0.06,0.51,0.2,0.06,0.11,0.49,0.76,0.02,0.07,0.27,0.17,0.3,0.67,0.2
moviesandbox.csv,0.81,0.2,0.4,0.25,0.4,0.48,0.12,0.3,0.36,0.76,0.03,0.07,0.22,0.44,0.27,0.36,0.47
ontomorphtab.csv,0.24,1.0,0.87,0.77,0.86,0.83,0.87,0.66,0.71,0.52,0.93,0.9,1.0,0.35,0.97,0.39,0.88
opengs.csv,0.05,0.58,0.23,0.28,0.51,0.42,0.08,0.0,0.27,0.39,0.0,0.23,0.42,0.21,0.33,0.28,0.32
scite-ru.csv,0.71,0.4,0.41,0.58,0.74,0.55,0.23,0.71,0.56,0.84,0.8,0.27,0.53,0.99,0.55,0.97,0.74
tokratan.csv,0.19,0.47,0.22,0.2,0.46,0.26,0.13,0.25,0.01,0.23,0.58,0.47,0.49,0.51,0.03,0.03,0.3
vrjuggler.csv,0.29,0.02,0.13,0.01,0.09,0.1,0.15,0.21,0.14,0.06,0.36,0.17,0.04,0.53,0.27,0.56,0.04
wxcode.csv,0.05,0.22,0.18,0.18,0.23,0.14,0.06,0.02,0.0,0.04,0.2,0.13,0.31,0.35,0.0,0.0,0.18
xuggle.csv,0.24,0.64,0.29,0.2,0.54,0.46,0.42,0.41,0.45,0.27,0.37,0.33,0.56,0.96,0.36,0.67,0.33
