,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.0,0.8,0.0,0.58,0.76,0.69,0.66,0.09,0.33,0.3,0.67,0.53,0.6,0.44,0.49,0.13,0.64,0.63
betoffice.csv,0.53,0.34,0.42,0.38,0.0,0.44,0.17,0.6,0.28,0.39,0.44,0.38,0.38,0.2,0.35,0.73,0.44,0.6
bionote.csv,0.39,0.33,0.29,0.21,0.38,0.0,0.18,0.37,0.24,0.28,0.1,0.47,0.76,0.46,0.43,0.21,0.51,0.35
bnetd.csv,0.3,0.0,0.35,0.4,0.47,0.47,0.47,0.0,0.62,0.45,0.69,0.0,0.63,0.72,0.45,0.21,0.33,0.55
elvishrayrenderer.csv,0.46,0.5,0.0,0.71,0.65,0.67,0.14,0.02,0.2,0.54,0.41,0.42,0.73,0.66,0.42,0.36,0.66,0.64
emisview.csv,0.28,0.0,0.06,0.46,0.45,0.67,0.18,0.16,0.5,0.01,0.3,0.41,0.53,0.54,0.36,0.11,0.45,0.07
findbugs.csv,0.43,0.62,0.53,0.44,0.64,0.55,0.28,0.35,0.65,0.2,0.37,0.29,0.58,0.5,0.62,0.49,0.63,0.61
hazelcast.csv,0.46,0.64,0.63,0.61,0.96,0.38,0.56,0.55,0.49,0.51,0.58,0.65,0.63,0.66,0.54,0.61,0.71,0.54
jitterbit.csv,0.0,0.73,0.53,0.7,0.69,0.52,0.38,0.05,0.7,0.21,0.32,0.38,0.48,0.66,0.69,0.16,0.6,0.6
jppf-project.csv,0.57,0.41,0.47,0.27,0.63,0.42,0.53,0.49,0.42,0.36,0.44,0.77,0.59,0.56,0.58,0.3,0.55,0.45
kolmafia.csv,0.5,0.55,0.05,0.6,0.66,0.33,0.56,0.0,0.66,0.58,0.7,0.68,0.51,0.74,0.17,0.63,0.66,0.62
megasquirtavr.csv,0.0,0.0,0.35,0.46,0.0,0.0,0.49,0.5,0.61,0.38,0.0,0.59,0.0,0.45,0.09,0.17,0.43,0.49
qedo.csv,0.25,0.21,0.12,0.38,0.18,0.2,0.2,0.35,0.24,0.47,0.36,0.46,0.27,0.33,0.17,0.81,0.12,0.21
stajistics.csv,0.56,0.38,0.12,0.57,0.78,0.73,0.38,0.3,0.49,0.0,0.46,0.0,0.69,0.69,0.57,0.7,0.67,0.36
trackit.csv,0.4,0.35,0.29,0.52,0.32,0.16,0.62,0.13,0.25,0.48,0.41,0.46,0.15,0.22,0.17,0.06,0.23,0.39
wxlua.csv,0.3,0.34,0.44,0.39,0.22,0.2,0.42,0.0,0.51,0.73,0.13,0.33,0.5,0.43,0.37,0.6,0.23,0.5
x4x.csv,0.78,0.0,0.64,0.61,0.49,0.45,0.5,0.46,0.56,0.38,0.69,0.37,0.46,0.29,0.5,0.2,0.57,0.59
xharbour.csv,0.0,0.81,0.56,0.65,0.49,0.5,0.5,0.5,0.57,0.63,0.32,0.41,0.69,0.7,0.47,0.3,0.39,0.44
