,kaffeine.csv,alembik.csv,co-ode-owl-plugins.csv,jmonkeyengine.csv,onotoa.csv,e-bio-flow.csv,ogrehg.csv,jaxlib.csv,chaperon.csv,nodal.csv,xpontus.csv,aten.csv,papertoolkit.csv,free-evolution.csv,jmule.csv
alembik.csv,77.5,93.5,237.5,239.5,94.5,82.5,91.5,228.5,30.0,50.5,792.5,28.5,202.0,274.5,95.5
chaperon.csv,98.5,98.5,1932.0,96.5,92.5,192.0,295.0,1400.0,96.5,196.0,2048.5,99.0,1064.5,850.0,95.5
co-ode-owl-plugins.csv,88.5,98.5,305.5,194.0,99.0,388.0,786.5,1203.0,684.0,190.0,3561.5,98.5,479.5,273.5,33.5
e-bio-flow.csv,88.5,93.5,391.0,342.0,188.0,95.5,97.5,589.0,1000.0,85.5,1875.0,98.5,260.0,177.0,95.5
free-evolution.csv,92.5,98.5,2032.0,194.0,191.0,388.0,788.5,1622.5,96.5,196.0,3290.5,98.5,737.5,655.5,95.5
jaxlib.csv,74.5,89.5,1199.5,162.0,99.0,290.5,97.5,199.5,96.5,190.0,2192.0,99.0,1109.5,464.5,92.5
jmonkeyengine.csv,98.5,177.0,1073.0,414.5,99.0,807.5,885.0,202.5,96.5,90.5,1899.5,99.0,708.0,1315.0,98.5
jmule.csv,84.5,96.5,2370.5,194.0,99.0,388.0,293.5,1531.0,96.5,196.0,3097.5,98.5,935.5,356.0,95.5
kaffeine.csv,98.5,96.5,2156.0,194.0,289.5,188.0,1082.0,1427.5,96.5,290.5,2548.5,99.0,1491.0,1130.0,98.5
nodal.csv,76.5,123.0,306.0,589.5,289.5,348.0,491.5,1073.0,96.5,93.5,843.5,97.5,203.5,446.5,98.5
ogrehg.csv,46.5,98.5,838.5,194.0,99.0,388.0,97.5,830.5,488.0,196.0,3169.5,98.5,611.0,177.0,417.5
onotoa.csv,23.5,98.5,493.5,153.5,99.0,289.5,884.0,565.5,718.0,82.5,825.5,98.5,337.0,276.5,47.5
papertoolkit.csv,92.5,98.5,1031.5,163.0,196.0,191.0,293.5,1477.5,161.0,194.0,2559.0,98.5,332.5,184.0,95.5
