,kaffeine.csv,alembik.csv,co-ode-owl-plugins.csv,jmonkeyengine.csv,onotoa.csv,e-bio-flow.csv,ogrehg.csv,jaxlib.csv,chaperon.csv,nodal.csv,xpontus.csv,aten.csv,papertoolkit.csv,free-evolution.csv,jmule.csv
alembik.csv,0.0,0.26,0.16,0.08,0.19,0.13,0.06,0.08,0.04,0.02,0.13,0.0,0.15,0.06,0.0
chaperon.csv,0.09,0.39,0.68,0.48,0.06,0.33,0.41,0.54,0.08,0.27,0.48,0.0,0.35,0.3,0.55
co-ode-owl-plugins.csv,0.09,0.77,0.11,0.34,0.69,0.71,0.61,0.69,0.69,0.19,0.65,0.0,0.25,0.28,0.0
e-bio-flow.csv,0.0,0.58,0.08,0.14,0.31,0.27,0.14,0.25,0.56,0.21,0.32,0.0,0.17,0.11,0.14
free-evolution.csv,0.09,0.74,0.68,0.88,0.5,0.63,0.45,0.98,0.17,0.37,0.62,0.0,0.25,0.35,0.55
jaxlib.csv,0.0,0.32,0.26,0.06,0.69,0.35,0.15,0.06,0.73,0.73,0.34,0.0,0.5,0.33,0.07
jmonkeyengine.csv,0.73,0.61,0.43,0.22,0.62,0.62,0.69,0.17,0.62,0.57,0.34,1.0,0.43,0.85,0.52
jmule.csv,0.18,0.65,0.78,0.86,0.81,0.56,0.54,0.96,0.71,0.59,0.5,0.0,0.45,0.41,0.14
kaffeine.csv,0.09,0.48,0.6,0.6,1.0,0.58,0.74,0.94,0.54,0.75,0.44,0.0,0.67,0.7,0.52
nodal.csv,0.09,0.13,0.2,0.3,0.5,0.31,0.24,0.46,0.15,0.17,0.13,0.0,0.08,0.2,0.28
ogrehg.csv,0.0,0.55,0.41,0.36,0.31,0.71,0.26,0.5,0.29,0.11,0.49,1.0,0.3,0.17,0.34
onotoa.csv,0.0,0.42,0.1,0.06,0.31,0.52,0.52,0.27,0.33,0.11,0.15,0.0,0.13,0.21,0.03
papertoolkit.csv,0.0,0.23,0.37,0.14,0.19,0.46,0.25,0.73,0.04,0.13,0.58,0.0,0.18,0.08,0.34
