,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,qgis.csv,rsyslog.csv,phonon-vlc-mplayer.csv,fm-classic.csv,rtrt-on-gpu.csv,unflobtactical.csv,multitude.csv,loki-lib.csv,cortex-vfx.csv,chaosrts.csv,biopax.csv,metacosm.csv,ng4j.csv
biopax.csv,0.98,0.76,0.92,0.81,0.83,0.65,0.84,1.0,0.4,0.77,0.85,0.55,1.0,0.96,1.0,0.89,0.75
chaosrts.csv,0.56,0.48,0.32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.54,1.0,0.7
cortex-vfx.csv,0.34,0.5,0.33,0.43,0.38,0.54,0.55,0.0,0.1,0.51,0.29,0.55,0.84,0.34,0.17,0.19,0.1
fm-classic.csv,0.04,0.02,0.0,0.0,0.04,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.04,0.0
fritzing.csv,0.5,0.84,0.94,0.71,0.46,0.77,0.77,1.0,0.4,0.74,0.55,0.28,0.56,0.76,0.46,0.7,0.55
jlinalg.csv,0.98,0.48,0.85,0.86,0.82,0.77,0.93,1.0,0.5,0.8,0.69,0.66,1.0,0.88,0.89,0.93,0.8
loki-lib.csv,0.42,0.66,0.47,0.57,0.51,0.85,0.29,0.67,0.6,0.54,0.52,0.9,0.69,0.51,0.27,0.74,0.5
metacosm.csv,0.4,0.7,0.46,0.52,0.45,0.42,0.38,0.67,0.1,0.34,0.25,0.28,0.48,0.53,0.39,0.96,0.2
multitude.csv,0.46,0.66,0.67,0.67,0.64,0.69,0.77,1.0,0.6,0.83,0.94,0.55,0.87,0.56,0.46,0.7,0.55
ng4j.csv,0.48,0.28,0.74,0.62,0.57,0.54,0.71,0.33,0.2,0.03,0.35,0.52,0.62,0.28,0.52,0.7,0.95
phonon-vlc-mplayer.csv,0.44,0.6,0.53,0.52,0.65,0.77,0.97,0.33,0.1,0.66,0.31,0.72,0.61,0.31,0.51,0.74,0.4
playerstage.csv,0.36,0.6,0.56,0.97,0.33,0.73,0.39,0.67,0.2,0.49,0.26,0.41,0.39,0.37,0.31,0.41,0.45
qgis.csv,0.52,0.72,0.61,0.64,0.99,0.58,0.67,0.33,0.1,0.6,0.49,0.34,0.92,0.45,0.48,0.52,0.5
rsyslog.csv,0.28,0.76,0.67,0.72,0.51,0.96,0.58,0.33,0.2,0.63,0.29,0.34,0.3,0.51,0.32,0.74,0.25
rtrt-on-gpu.csv,0.3,0.58,0.49,0.5,0.58,0.35,0.43,0.0,0.9,0.49,0.37,0.31,0.36,0.33,0.41,0.67,0.45
superwaba.csv,0.54,0.96,0.67,0.45,0.74,0.77,0.59,0.67,0.6,0.43,0.63,0.55,0.49,0.46,0.63,0.44,0.55
unflobtactical.csv,0.44,0.34,0.46,0.62,0.62,0.35,0.45,0.67,0.3,1.0,0.48,0.38,0.6,0.51,0.32,0.63,0.4
