,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,qgis.csv,rsyslog.csv,phonon-vlc-mplayer.csv,fm-classic.csv,rtrt-on-gpu.csv,unflobtactical.csv,multitude.csv,loki-lib.csv,cortex-vfx.csv,chaosrts.csv,biopax.csv,metacosm.csv,ng4j.csv
biopax.csv,0.93,0.53,0.69,0.56,0.66,0.63,0.51,0.11,0.19,0.68,0.71,0.52,0.36,0.92,0.99,0.62,0.41
chaosrts.csv,0.69,0.45,0.36,0.58,0.66,0.68,0.43,0.1,0.29,0.73,0.69,0.56,0.36,0.99,0.63,0.64,0.38
cortex-vfx.csv,0.51,0.41,0.45,0.49,0.48,0.65,0.52,0.0,0.15,0.62,0.41,0.42,0.91,0.49,0.29,0.28,0.12
fm-classic.csv,0.08,0.04,0.0,0.0,0.07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.07,0.0
fritzing.csv,0.66,0.65,0.96,0.55,0.53,0.73,0.56,0.1,0.47,0.73,0.59,0.37,0.35,0.84,0.62,0.63,0.49
jlinalg.csv,0.99,0.46,0.67,0.61,0.63,0.66,0.54,0.15,0.21,0.68,0.62,0.51,0.36,0.9,0.9,0.63,0.47
loki-lib.csv,0.58,0.54,0.51,0.49,0.52,0.69,0.21,0.07,0.3,0.53,0.5,0.95,0.35,0.66,0.38,0.63,0.33
metacosm.csv,0.56,0.59,0.53,0.54,0.55,0.56,0.43,0.08,0.12,0.45,0.36,0.35,0.36,0.67,0.55,0.98,0.22
multitude.csv,0.61,0.53,0.63,0.52,0.65,0.67,0.53,0.13,0.28,0.73,0.97,0.52,0.42,0.69,0.61,0.67,0.42
ng4j.csv,0.63,0.38,0.6,0.65,0.52,0.61,0.68,0.09,0.22,0.06,0.47,0.48,0.35,0.43,0.65,0.6,0.97
phonon-vlc-mplayer.csv,0.59,0.55,0.56,0.52,0.6,0.67,0.99,0.09,0.13,0.64,0.44,0.51,0.37,0.46,0.64,0.67,0.4
playerstage.csv,0.51,0.47,0.62,0.97,0.44,0.73,0.5,0.24,0.15,0.58,0.36,0.49,0.34,0.53,0.47,0.43,0.45
qgis.csv,0.59,0.53,0.62,0.59,0.99,0.62,0.53,0.08,0.1,0.65,0.6,0.37,0.36,0.6,0.61,0.61,0.43
rsyslog.csv,0.44,0.67,0.66,0.65,0.59,0.98,0.5,0.09,0.22,0.63,0.41,0.38,0.21,0.65,0.48,0.67,0.29
rtrt-on-gpu.csv,0.41,0.41,0.5,0.43,0.53,0.38,0.34,0.0,0.95,0.51,0.43,0.31,0.32,0.47,0.51,0.58,0.31
superwaba.csv,0.68,0.98,0.61,0.47,0.61,0.61,0.41,0.09,0.26,0.46,0.59,0.42,0.37,0.61,0.69,0.45,0.4
unflobtactical.csv,0.52,0.37,0.49,0.58,0.63,0.47,0.35,0.1,0.23,1.0,0.55,0.36,0.41,0.65,0.47,0.63,0.44
