,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,qgis.csv,rsyslog.csv,phonon-vlc-mplayer.csv,fm-classic.csv,rtrt-on-gpu.csv,unflobtactical.csv,multitude.csv,loki-lib.csv,cortex-vfx.csv,chaosrts.csv,biopax.csv,metacosm.csv,ng4j.csv
biopax.csv,0.86,0.64,0.65,0.54,0.65,0.62,0.72,0.64,0.4,0.62,0.71,0.57,0.0,0.38,0.99,0.47,0.62
chaosrts.csv,0.59,0.51,0.35,0.0,0.0,0.0,0.13,0.49,0.0,0.0,0.0,0.0,0.13,0.99,0.5,0.0,0.57
cortex-vfx.csv,0.39,0.5,0.38,0.47,0.42,0.59,0.59,0.0,0.12,0.55,0.33,0.47,0.87,0.38,0.2,0.23,0.12
fm-classic.csv,0.05,0.02,0.0,0.0,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.05,0.0
fritzing.csv,0.55,0.78,0.95,0.62,0.5,0.73,0.74,0.49,0.45,0.71,0.56,0.32,0.56,0.72,0.51,0.66,0.58
jlinalg.csv,0.98,0.51,0.68,0.63,0.55,0.64,0.77,0.84,0.45,0.57,0.61,0.6,0.0,0.72,0.84,0.42,0.7
loki-lib.csv,0.47,0.64,0.5,0.54,0.52,0.65,0.31,0.48,0.58,0.47,0.49,0.92,0.59,0.55,0.3,0.67,0.5
metacosm.csv,0.45,0.68,0.5,0.55,0.49,0.47,0.43,0.57,0.12,0.38,0.29,0.32,0.51,0.55,0.44,0.97,0.24
multitude.csv,0.51,0.63,0.65,0.58,0.65,0.66,0.72,0.77,0.56,0.67,0.95,0.56,0.69,0.54,0.5,0.69,0.56
ng4j.csv,0.53,0.32,0.6,0.65,0.53,0.57,0.74,0.37,0.24,0.04,0.4,0.54,0.58,0.32,0.55,0.63,0.96
phonon-vlc-mplayer.csv,0.49,0.61,0.55,0.54,0.61,0.66,0.98,0.37,0.12,0.61,0.36,0.56,0.59,0.35,0.54,0.7,0.44
playerstage.csv,0.41,0.57,0.59,0.97,0.37,0.73,0.44,0.7,0.23,0.52,0.3,0.46,0.43,0.42,0.36,0.44,0.49
qgis.csv,0.34,0.65,0.62,0.64,0.99,0.6,0.67,0.37,0.12,0.61,0.54,0.38,0.39,0.46,0.51,0.56,0.53
rsyslog.csv,0.33,0.75,0.67,0.7,0.55,0.97,0.6,0.37,0.24,0.6,0.33,0.38,0.33,0.53,0.37,0.7,0.29
rtrt-on-gpu.csv,0.31,0.49,0.5,0.48,0.53,0.37,0.45,0.0,0.92,0.47,0.4,0.34,0.4,0.36,0.38,0.61,0.46
superwaba.csv,0.58,0.97,0.63,0.48,0.61,0.45,0.58,0.61,0.52,0.43,0.57,0.49,0.52,0.49,0.48,0.46,0.56
unflobtactical.csv,0.21,0.38,0.49,0.62,0.63,0.4,0.47,0.62,0.34,1.0,0.51,0.4,0.61,0.52,0.37,0.64,0.45
