,x4x.csv,xharbour.csv,rectracker.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,wxlua.csv,ontopia.csv,lite.csv,findbugs.csv,stajistics.csv,jfreechart.csv
alembik.csv,0.25,0.21,0.04,0.1,0.03,0.18,0.24,0.0,0.23,0.06,0.04,0.04,0.12,0.21,0.29,0.09,0.2,0.15
arsenal-1.csv,0.25,0.05,0.0,0.75,0.01,0.06,0.04,0.19,0.03,0.06,0.0,0.07,0.0,0.0,0.1,0.04,0.04,0.03
atomsite.csv,0.75,0.37,0.7,0.85,0.74,0.79,0.28,0.81,0.58,0.43,0.57,0.62,0.0,0.64,0.88,0.76,0.43,0.7
barracudamvc.csv,0.58,0.95,1.0,0.3,0.77,0.82,0.98,1.0,1.0,0.98,1.0,0.93,1.0,0.79,0.95,0.98,0.97,0.99
emisview.csv,0.33,0.0,0.04,0.1,0.03,0.09,0.15,0.0,0.39,0.21,0.04,0.17,0.0,0.21,0.37,0.2,0.14,0.16
findbugs.csv,1.0,0.42,0.52,0.85,0.97,0.88,0.33,0.06,0.58,0.42,0.65,0.62,0.0,0.57,0.66,0.27,0.83,0.71
jitterbit.csv,1.0,0.74,0.56,0.8,0.21,0.52,0.54,1.0,0.48,0.62,0.22,0.21,0.25,0.57,0.78,0.58,0.67,1.0
lite.csv,0.33,0.32,0.0,0.65,0.01,0.52,0.11,0.42,0.23,0.11,0.13,0.08,0.25,0.57,0.29,0.18,0.19,0.04
megasquirtavr.csv,1.0,1.0,0.93,0.85,0.12,1.0,0.78,1.0,0.9,1.0,0.96,0.5,0.38,1.0,0.71,0.84,0.83,0.81
ontopia.csv,0.25,1.0,0.56,0.3,0.32,0.82,0.76,0.42,0.71,0.64,0.87,0.41,1.0,0.36,0.83,0.73,0.25,0.67
openintents.csv,0.75,0.84,1.0,0.55,0.03,0.18,0.89,1.0,0.81,1.0,0.3,0.78,0.88,0.43,0.68,0.89,0.19,0.98
rectracker.csv,1.0,1.0,0.22,0.9,0.82,0.97,0.98,0.39,1.0,0.79,1.0,0.99,0.62,1.0,0.8,1.0,1.0,0.77
stajistics.csv,0.67,0.95,0.96,0.5,0.01,0.39,0.96,0.65,0.65,0.92,0.3,0.59,0.75,0.64,0.56,0.82,0.32,1.0
trackit.csv,0.33,0.21,0.0,0.1,0.14,0.42,0.35,0.03,0.29,0.17,0.52,0.34,0.25,0.07,0.37,0.11,0.23,0.0
wxlua.csv,0.25,0.89,0.19,0.45,0.81,0.3,0.89,0.29,0.61,0.21,0.52,0.43,0.62,0.29,0.05,0.16,0.22,0.41
x4x.csv,0.42,1.0,0.48,0.75,0.52,0.91,0.67,0.68,0.84,0.75,0.7,0.67,0.25,0.93,0.73,0.62,0.46,0.83
xharbour.csv,0.92,0.05,0.59,1.0,0.75,0.85,0.59,1.0,0.77,0.74,0.78,0.67,0.62,0.43,0.76,0.82,0.77,1.0
