,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.56,0.59,1.0,0.46,0.81,0.33,0.68,0.66,0.46,0.44,0.48
azureus.csv,0.17,0.58,0.12,0.31,0.43,0.12,0.98,0.43,0.07,0.2,0.2
forester-atv.csv,0.02,1.0,0.09,0.19,0.15,0.0,0.11,0.06,0.21,0.09,0.1
gabel.csv,0.1,0.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.01,0.0
google-collections.csv,1.0,0.0,0.13,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
javaprofiler.csv,0.31,0.58,0.41,0.3,0.7,0.52,0.63,0.63,0.54,0.42,0.99
mycila.csv,0.12,0.49,0.04,0.26,0.0,0.92,0.06,0.02,0.21,0.16,0.49
neodatis-odb.csv,0.0,0.55,0.48,0.98,0.14,0.12,0.38,0.18,0.51,0.32,0.49
pokenetonline.csv,0.72,0.49,0.13,0.47,0.62,0.52,0.65,0.94,0.62,0.67,0.53
rcp-company-uibindings.csv,0.81,0.0,0.13,0.13,0.09,0.09,0.05,0.0,0.57,1.0,0.49
servicestack.csv,0.0,0.5,0.66,0.55,0.61,0.33,0.57,0.64,0.9,0.62,0.5
