,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.5,0.76,0.0,0.78,0.4,0.86,0.6,0.51,0.6,0.62,0.58
azureus.csv,0.86,0.49,0.9,0.75,0.65,0.91,0.02,0.64,0.94,0.83,0.83
forester-atv.csv,0.97,0.0,0.93,0.84,0.88,1.0,0.91,0.95,0.82,0.93,0.92
gabel.csv,0.93,1.0,1.0,1.0,0.0,1.0,0.96,1.0,1.0,0.99,1.0
google-collections.csv,0.0,1.0,0.97,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0
javaprofiler.csv,0.74,0.58,0.77,0.83,0.62,0.64,0.63,0.66,0.72,0.65,0.06
mycila.csv,0.9,0.64,0.97,0.82,1.02,0.1,0.95,0.99,0.83,0.92,0.68
neodatis-odb.csv,1.17,0.63,0.64,0.03,0.91,0.9,0.71,0.86,0.6,0.98,0.61
pokenetonline.csv,0.53,0.84,0.98,0.85,0.68,0.8,0.7,0.07,0.73,0.57,0.72
rcp-company-uibindings.csv,0.5,1.0,0.97,0.97,0.98,0.98,0.99,1.0,0.78,0.0,0.84
servicestack.csv,1.06,0.82,0.48,0.76,0.57,0.8,0.65,0.53,0.12,0.55,0.63
