,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,glas.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,0.61,0.74,0.0,0.37,0.47,0.62,0.0,0.67,0.93,0.64,0.92,0.0,0.72,0.75,0.0,0.5
codepurge.csv,0.35,0.32,0.43,0.46,0.32,0.41,0.5,0.3,0.92,0.32,0.57,0.4,0.86,0.6,0.52,0.42,0.86
fontforge.csv,0.43,0.29,0.41,0.37,0.33,0.35,0.37,0.41,0.42,0.37,0.44,0.42,0.49,0.41,0.37,0.44,0.36
glas.csv,0.39,0.33,0.44,0.41,0.32,0.41,0.4,0.26,0.39,0.29,0.41,0.36,0.47,0.56,0.37,0.32,0.42
gmerlin.csv,0.0,0.29,0.4,0.37,0.5,0.32,0.36,0.0,0.38,0.0,0.39,0.38,0.42,0.4,0.0,0.4,0.42
hatari.csv,0.42,0.45,0.57,0.39,0.36,0.46,0.43,0.29,0.43,0.33,0.5,0.42,0.64,0.95,0.41,0.66,0.69
jcl.csv,0.52,0.41,0.5,0.92,0.45,0.45,0.47,0.48,0.47,0.71,0.42,0.95,0.88,0.5,0.59,0.68,0.54
ltp.csv,0.92,0.38,0.46,0.46,0.47,0.45,0.44,0.36,0.61,0.51,0.57,0.72,0.64,0.51,0.57,0.95,0.51
mia.csv,0.62,0.0,0.55,0.41,0.96,0.88,0.63,0.36,0.56,0.34,0.53,0.87,0.8,0.8,0.64,0.77,0.77
net-snmp.csv,0.48,0.55,0.45,0.5,0.44,0.67,0.72,0.28,0.39,0.67,0.52,0.61,0.45,0.58,0.82,0.82,0.51
opde.csv,0.4,0.39,0.42,0.59,0.33,0.42,0.64,0.41,0.49,0.0,0.43,0.41,0.7,0.58,0.46,0.43,0.48
oppna-program-hsatools.csv,0.36,0.4,0.39,0.37,0.35,0.46,0.42,0.29,0.42,0.35,0.46,0.41,0.7,0.96,0.35,0.4,0.51
powerfolder-.csv,0.35,0.53,0.45,0.33,0.8,0.64,0.47,0.3,0.38,0.47,0.47,0.37,0.79,0.83,0.39,0.39,0.53
qlc.csv,0.0,0.31,0.0,0.43,0.89,0.41,0.45,0.0,0.48,0.89,0.89,0.44,0.49,0.49,0.5,0.0,0.46
quantlib.csv,0.4,0.0,0.0,0.0,0.33,0.95,0.0,0.29,0.0,0.37,0.5,0.0,0.0,0.0,0.37,0.37,0.65
tcl.csv,0.46,0.35,0.46,0.36,0.38,0.41,0.42,0.0,0.48,0.45,0.5,0.42,0.48,0.48,0.0,0.76,0.44
