,jgnash.csv,yarp0.csv,mp-rechnungs-und-kundenverwaltung.csv,ingex.csv,ambulant.csv,openefm.csv
ambulant.csv,0.76,0.61,0.6,0.72,,0.78
ingex.csv,0.73,0.03,0.56,,0.36,0.76
jgnash.csv,,0.18,0.02,0.44,0.15,0.04
mp-rechnungs-und-kundenverwaltung.csv,0.09,0.08,,0.34,0.08,0.28
openefm.csv,0.28,0.11,0.32,0.26,0.21,
yarp0.csv,0.05,,0.61,0.5,0.33,0.45
