,jgnash.csv,yarp0.csv,mp-rechnungs-und-kundenverwaltung.csv,ingex.csv,ambulant.csv,openefm.csv
ambulant.csv,0.22,0.41,0.35,0.54,,0.43
ingex.csv,0.18,0.11,0.34,,0.41,0.32
jgnash.csv,,0.41,0.28,0.56,0.5,0.15
mp-rechnungs-und-kundenverwaltung.csv,0.19,0.27,,0.54,0.41,0.45
openefm.csv,0.31,0.18,0.33,0.44,0.41,
yarp0.csv,0,,0.49,0.54,0.32,0.38
