,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.33,0.33,0.56,0.96,0.17,0.41,0.44,0.3,0.64,0.43
cities3d.csv,0.33,0.73,0.16,0.75,0.19,0.81,0.44,0.4,0.18,0.3
firebird.csv,0.25,0.3,0.97,0.54,0.43,0.43,0.56,0.7,0.82,0.43
hydrogen.csv,0.33,0.63,0.47,0.32,0.21,0.78,1.0,0.3,0.36,0.28
lphant.csv,0.67,0.6,0.65,0.72,0.68,0.46,0.75,0.7,0.95,0.49
open-ms.csv,0.5,0.8,0.55,0.63,0.27,0.43,0.25,0.5,0.32,0.94
qgo.csv,0.5,1.0,0.56,0.5,0.27,0.7,0.69,0.3,0.55,0.47
rhex.csv,0.92,0.53,0.15,0.36,0.08,0.38,0.25,0.2,0.05,0.11
xined.csv,0.08,0.83,0.09,0.68,0.14,0.43,0.31,0.9,0.5,0.1
yield.csv,0.58,0.97,0.65,0.84,0.95,0.73,0.88,1.0,0.82,0.76
