,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.76,0.76,0.61,0.04,0.84,0.68,0.57,0.77,0.63,0.65
cities3d.csv,0.69,0.87,0.84,0.93,0.82,0.19,0.6,0.64,0.84,0.74
firebird.csv,0.8,0.7,0.04,0.59,0.61,0.66,0.57,0.53,0.55,0.69
hydrogen.csv,0.72,0.61,0.67,0.7,0.84,0.56,0.0,0.76,0.65,0.73
lphant.csv,0.54,0.82,0.77,0.68,0.64,0.73,0.53,0.46,0.05,0.69
open-ms.csv,0.71,0.8,0.63,0.73,0.79,0.75,0.86,0.57,0.71,0.06
qgo.csv,0.55,0.0,0.56,0.56,0.73,0.59,0.34,0.75,0.6,0.59
rhex.csv,0.08,0.63,0.86,0.7,0.92,0.63,0.75,0.8,0.95,0.89
xined.csv,0.92,0.9,0.92,0.78,0.88,0.58,0.69,0.1,0.62,0.9
yield.csv,0.68,0.57,0.61,0.72,0.06,0.74,0.59,0.58,0.55,0.68
