,paintown.csv,google-collections.csv,smbopensoft.csv,forester-atv.csv,thout.csv,jsecurity.csv,cleartk.csv,opensim4opencog.csv
cleartk.csv,0.6,0.75,0.98,0.72,0.85,0.67,0.0,0.91
forester-atv.csv,0.87,1.0,0.46,0.04,0.8,1.0,0.91,0.92
google-collections.csv,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
jsecurity.csv,0.81,0.75,0.99,0.77,0.71,0.1,0.86,0.67
opensim4opencog.csv,0.94,0.9,0.56,0.48,0.88,0.91,0.73,0.13
paintown.csv,0.04,0.53,0.63,0.6,0.64,0.87,0.68,0.64
smbopensoft.csv,0.74,0.85,0.04,0.86,0.79,0.85,0.83,0.76
thout.csv,0.87,0.66,0.98,0.69,0.07,0.74,0.79,0.76
