,jedit.csv,lamp.csv,triplea.csv,openintents.csv,dxengine.csv,hazelcast.csv,bullet.csv,qlc.csv,jmonkeyengine.csv,onotoa.csv,apertium.csv,lcfizvtop.csv,bionote.csv,kolmafia.csv,findbugs.csv,duplicati.csv,emono.csv
apertium.csv,0.72,0.25,0.6,0.52,0.62,0.51,0.28,0.0,0.57,0.31,0.82,0.41,0.55,0.53,0.39,0.17,0.25
bionote.csv,0.59,0.17,0.26,0.48,0.56,0.26,0.38,0.63,0.37,0.27,0.28,0.4,0.96,0.53,0.43,0.15,0.19
bullet.csv,0.17,0.46,0.62,0.56,0.69,0.72,0.63,0.26,0.24,0.45,0.4,0.21,0.29,0.59,0.48,0.41,0.53
dxengine.csv,0.0,0.57,0.19,0.47,0.68,0.16,0.55,0.37,0.07,0.61,0.56,0.59,0.14,0.02,0.25,0.23,0.41
emono.csv,0.61,0.56,0.73,0.53,0.42,0.0,0.34,0.73,0.44,0.55,0.47,0.11,0.36,0.54,0.57,0.0,0.67
findbugs.csv,0.62,0.65,0.48,0.59,0.52,0.63,0.55,0.69,0.75,0.59,0.26,0.52,0.56,0.58,0.63,0.0,0.54
hazelcast.csv,0.77,0.71,0.61,0.33,0.66,0.93,0.65,0.63,0.59,0.23,0.59,0.48,0.68,0.7,0.5,0.84,0.43
jedit.csv,0.71,0.71,0.34,0.13,0.72,0.0,0.68,0.62,0.54,0.24,0.53,0.57,0.47,0.66,0.4,0.96,0.33
jmonkeyengine.csv,0.1,0.58,0.28,0.44,0.58,0.23,0.53,0.6,0.55,0.53,0.39,0.09,0.68,0.13,0.33,0.0,0.09
kolmafia.csv,0.58,0.53,0.63,0.33,0.72,0.66,0.72,0.48,0.48,0.38,0.45,0.56,0.66,0.71,0.45,0.58,0.34
lamp.csv,0.75,0.66,0.61,0.57,0.73,0.82,0.65,0.64,0.53,0.55,0.56,0.48,0.81,0.0,0.53,0.46,0.0
lcfizvtop.csv,0.36,0.74,0.39,0.68,0.63,0.45,0.53,0.64,0.37,0.43,0.28,0.73,0.54,0.67,0.42,0.46,0.36
onotoa.csv,0.53,0.17,0.32,0.57,0.25,0.0,0.33,0.6,0.5,0.63,0.42,0.3,0.43,0.26,0.61,0.0,0.58
openintents.csv,0.55,0.09,0.49,0.71,0.37,0.69,0.54,0.43,0.24,0.43,0.35,0.36,0.45,0.5,0.46,0.0,0.47
qlc.csv,0.46,0.46,0.55,0.54,0.43,0.63,0.64,0.68,0.48,0.5,0.28,0.21,0.85,0.66,0.54,0.54,0.48
triplea.csv,0.59,0.67,0.69,0.0,0.63,0.75,0.71,0.64,0.53,0.56,0.74,0.63,0.3,0.44,0.51,0.87,0.57
