,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.96,0.76,0.6,0.01,0.85,0.8,0.28,0.13,0.84,0.29
firebird.csv,0.02,0.33,0.59,0.43,0.57,0.62,0.39,0.62,0.35,0.56
fmri-dmt.csv,0.09,0.0,0.13,0.04,0.22,0.01,0.02,0.05,0.02,0.0
htmlunit.csv,0.08,0.86,0.16,0.56,0.36,0.0,0.52,1.0,0.34,0.9
monetdb.csv,0.2,0.14,0.55,0.31,0.35,0.21,0.31,0.49,0.01,0.19
ontomorphtab.csv,0.28,0.0,0.87,0.43,0.56,0.63,0.57,0.77,0.33,0.69
smarttag.csv,0.44,0.14,0.51,0.35,0.34,0.23,0.37,0.03,0.25,0.31
taokgame.csv,0.04,0.14,0.0,0.12,0.12,0.03,0.13,0.21,0.06,0.02
webdriver.csv,0.39,0.29,0.16,0.39,0.22,0.34,0.04,0.59,0.19,0.34
xbplayer.csv,0.16,0.19,0.17,0.22,0.0,0.19,0.28,0.13,0.13,0.21
